Hex	名称	JP_NAME	EN_NAME	备注	过滤
0148	利维坦	レビアタン	Leviathan	游戏奔溃	
0149	萨麦尔	サマエル	Samael	游戏奔溃	
014A	玛利亚	マリア	Maria		√
014B	瓦胡・马纳	ウォフ・マナフ	Vohu Manah		√
014C	凯特西	ケットシー	Caith Sith	游戏奔溃	
014D	御社宫司神	ミシャグジさま	Mishaguji		√
014E	挑战用霜精	チャレンジ用フロスト	チャレンジ用フロスト	游戏奔溃	
014F	杰克灯笼	チャレンジ用エンジェル	チャレンジ用エンジェル	游戏奔溃	
0150	RESERVE	リザーブ	RESERVE		
0151	RESERVE	リザーブ	RESERVE		
0152	RESERVE	リザーブ	RESERVE		
0153	RESERVE	リザーブ	RESERVE		
0154	RESERVE	リザーブ	RESERVE		
0155	RESERVE	リザーブ	RESERVE		
0156	RESERVE	リザーブ	RESERVE		
0157	RESERVE	リザーブ	RESERVE		
0158	RESERVE	リザーブ	RESERVE		
0159	RESERVE	リザーブ	RESERVE		
015A	RESERVE	リザーブ	RESERVE		
015B	RESERVE	リザーブ	RESERVE		
015C	RESERVE	リザーブ	RESERVE		
015D	RESERVE	リザーブ	RESERVE		
015E	RESERVE	リザーブ	RESERVE		
015F	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0160	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0161	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0162	P5未使用	P5未使用	P6 Unused	游戏奔溃	
0163	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0164	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0165	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0166	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0167	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0168	伊邪那岐大神	伊邪那岐大神	Izanagi no Okami		√
0169	赛姬	プシュケイ	Psyche	游戏奔溃	
016A	雅典娜	アテナ	Athena		√
016B	劳尔	ラウール	Raoul		√
016C	俄耳甫斯・改	オルフォウス改	Orpheus Telos	游戏奔溃	
016D	俄耳甫斯	オルフォウス	Orpheus		√
016E	伊邪那岐大神・贼神	伊邪那岐大神・賊神	Izanagi no Okami Picaro		√
016F	赛姬・贼神	プシュケイ・賊神	Psyche Picaro	游戏奔溃	
0170	雅典娜・贼神	アテナ・賊神	Athena Picaro		√
0171	亚森・摩登・贼神	アルセーヌ・モダン・賊神	Neo Arsene Picaro	游戏奔溃	
0172	俄耳甫斯・改・贼神	オルフォウス改・賊神	Orpheus Telos Picaro	游戏奔溃	
0173	俄耳甫斯・贼神	オルフォウス・賊神	Orpheus Picaro		√
0174	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0175	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0176	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0177	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0178	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0179	P5未使用	P5未使用	P5 Unused	游戏奔溃	
017A	P5未使用	P5未使用	P5 Unused	游戏奔溃	
017B	P5未使用	P5未使用	P5 Unused	游戏奔溃	
017C	P5未使用	P5未使用	P5 Unused	游戏奔溃	
017D	P5未使用	P5未使用	P5 Unused	游戏奔溃	
017E	P5未使用	P5未使用	P5 Unused	游戏奔溃	
017F	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0180	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0181	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0182	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0183	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0184	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0185	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0186	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0187	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0188	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0189	P5未使用	P5未使用	P5 Unused	游戏奔溃	
018A	P5未使用	P5未使用	P5 Unused	游戏奔溃	
018B	P5未使用	P5未使用	P5 Unused	游戏奔溃	
018C	P5未使用	P5未使用	P5 Unused	游戏奔溃	
018D	P5未使用	P5未使用	P5 Unused	游戏奔溃	
018E	P5未使用	P5未使用	P5 Unused	游戏奔溃	
018F	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0190	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0191	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0192	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0193	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0194	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0195	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0196	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0197	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0198	P5未使用	P5未使用	P5 Unused	游戏奔溃	
0199	P5未使用	P5未使用	P5 Unused	游戏奔溃	
019A	P5未使用	P5未使用	P5 Unused	游戏奔溃	
019B	P5未使用	P5未使用	P5 Unused	游戏奔溃	
019C	P5未使用	P5未使用	P5 Unused	游戏奔溃	
019D	P5未使用	P5未使用	P5 Unused	游戏奔溃	
019E	P5未使用	P5未使用	P5 Unused	游戏奔溃	
019F	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A0	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A1	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A2	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A3	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A4	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A5	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A6	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A7	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01A8	马卡布	マカーブル	Macabre		√
01A9	艾里拉特	アリラト	Alilat		√
01AA	雷鸟	サンダーバード	Thunderbird		√
01AB	法夫纳	ファフニール	Fafnir		√
01AC	拜亚基	ビヤーキー	Byarky		√
01AD	哈斯塔	ハスター	Hastur		√
01AE	塔姆林	タムリン	Tam Lin		√
01AF	座天使	ソロネ	Throne		√
01B0	斯尔特	スルト	Surt		√
01B1	罗瓦	ロア	Loa		√
01B2	奇美拉	キマイラ	Chimera		√
01B3	大元帅明王	アタバク	Atavaka		√
01B4	凯特西	ケットシー	Caith Sith		√
01B5	齐格飞	ジークフリード	Siegfried		√
01B6	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01B7	P5未使用	P5未使用	P5 Unused	游戏奔溃	
01B8	拉雯妲专用凯尔派	ラヴェ専用ケルピー	Lab Kelpie	无模型	
01B9	拉雯妲专用比利士	ラヴェ専用べリス	Lab Berith	无模型	
01BA	拉雯妲专用犬神	ラヴェ専用イヌカミ	Lab Inugami	无模型	
01BB	拉雯妲专用奴延	ラヴェ専用ヌエ	Lab Nue	无模型	
01BC	拉雯妲专用鬼	ラヴェ専用オニ	Lab Oni	无模型	
01BD	拉雯妲专用阿努比斯	ラヴェ専用アヌビス	Lab Anubis	无模型	
01BE	拉雯妲专用米特拉斯	ラヴェ専用ミトラス	Lab Mithras	无模型	
01BF	拉雯妲专用欧赛	ラヴェ専用オセ	Lab Ose	无模型	
01C0	拉雯妲专用大元帅明王	ラヴェ専用アタバク	Lab Atavaka	无模型	
01C1	拉雯妲专用托尔	ラヴェ専用トール	Lab Thor	无模型	
01C2	拉雯妲专用路西法	ラヴェ専用ルシファー	Lab Lucifer	无模型	
01C3	P3专用俄耳甫斯	P3専用オルフェウ	P3 Orpheus	无模型	
01C4	P4专用伊邪那岐	P4専用イザナギ	P4 Izanagi	无模型	
01C5	P3用塔纳托斯	P3用タナトス	P3 Thanatos	无模型	
01C6	P3用弥赛亚	P3用マサイア	P3 Messiah	无模型	
01C7	P3用阿提斯	P3用アティス	P3 Attis	无模型	
01C8	P3用齐格飞	P3用ジークフリード	P4 Siegfried	无模型	
01C9	P4用黄龙	P4用コウリュウ	P4 Kohryu	无模型	
01CA	P4用辉夜	P4用カグヤ	P4 Kaguya	无模型	
01CB	P4用斯拉欧加	P4用スラオシャ	P4 Sraosha	无模型	
01CC	P4用义经	P4用ヨシツネ	P4 Yoshitsune	无模型	
01CD	P4用伊邪那岐大神	P4用イザナギノオオカミ	P4 Izanagi no Okami	无模型	
01CE	RESERVE	リザーブ	RESERVE		
01CF	RESERVE	リザーブ	RESERVE		
