基址	名称	角色
main+02270BD3	尖刺鞭	高卷杏
main+02270BD5	坚桠	高卷杏
main+02270BD9	罪恶鞭	高卷杏
main+02270BDA	山羊皮鞭	高卷杏
main+02270BDF	冰雪女王鞭	高卷杏
main+02270BE1	深渊之鞭	高卷杏
main+02270BE2	日本刀	喜多川佑介
main+02270BE3	军刀	喜多川佑介
main+02270BE4	斩铜刀	喜多川佑介
main+02270BE5	唯美太刀	喜多川佑介
main+02270BE6	村雨	喜多川佑介
main+02270BE7	古董军刀	喜多川佑介
main+02270BE8	制式刀	喜多川佑介
main+02270BE9	小江户刀	喜多川佑介
main+02270BEA	蛇牙刀	喜多川佑介
main+02270BEB	月光	喜多川佑介
main+02270BEE	居合刀	喜多川佑介
main+02270BF0	大蛇刀	喜多川佑介
main+02270BF1	大胁差	喜多川佑介
main+02270BF3	梦想正宗	喜多川佑介
main+02270BF4	名匠的居合刀	喜多川佑介
main+02270BF6	溅血魔刀	喜多川佑介
main+02270BF8	快刀・乱麻	喜多川佑介
main+02270BFA	薄绿	喜多川佑介
main+02270BFD	烟管刀	喜多川佑介
main+02270BFF	豪刀『千两名角』	喜多川佑介
main+02270C01	黄铜拳套	新岛真
main+02270C02	地狱拳套	新岛真
main+02270C05	重金扫荡者	新岛真
main+02270C06	人父之拳	新岛真
main+02270C07	铁拳	新岛真
main+02270C08	马赫拳套	新岛真
main+02270C0A	魔鬼霸拳	新岛真
main+02270C0B	闪光拳套	新岛真
main+02270C0D	终极拳套	新岛真
main+02270C0E	竞赛拳套	新岛真
main+02270C0F	制裁	新岛真
main+02270C14	小熊手套	新岛真
main+02270C15	霸拳	新岛真
main+02270C16	萨巴兹乌斯	新岛真
main+02270C19	金刚杵	新岛真
main+02270C1A	统治之鞭	高卷杏
main+02270C1B	铁管	坂本龙司
main+02270C1D	战斧	奥村春
main+02270C1E	超级战斧	奥村春
main+02270C20	新月战斧	奥村春
main+02270C22	寒冰战斧	奥村春
main+02270C24	凿斧	奥村春
main+02270C25	金太郎印的斧头	奥村春
main+02270C26	亚马逊战斧	奥村春
main+02270C2A	大爆炸战斧	奥村春
main+02270C2D	基加美修战斧	奥村春
main+02270C2F	恶之华战斧	奥村春
main+02270C30	手指虎	新岛真
main+02270C31	三角拳套	新岛真
main+02270C32	重击拳套	新岛真
main+02270C33	辉光军刀	明智吾郎
main+02270C34	火之迦具土	明智吾郎
main+02270C35	类星体军刀	明智吾郎
main+02270C36	火之迦具土・改	明智吾郎
main+02270C37	弯刃大刀	摩尔加纳
main+02270C38	虚幻缎带	高卷杏
main+02270C39	分铜锁	高卷杏
main+02270C3A	濒死之斧	奥村春
main+02270C3D	半月斧	奥村春
main+02270C3E	死亡契约	奥村春
main+02270C3F	黑色小刀	主人公
main+02270C44	嫉妒锁链	高卷杏
main+02270C45	教祖之手	新岛真
main+02270C47	博运军刀	摩尔加纳
main+02270C49	白银匕首	主人公
main+02270C4A	锯齿军刀	明智吾郎
main+02270C4D	霞觉醒时刺剑	芳泽霞
main+02270C4E	霞援助时刺剑	芳泽霞
main+02270C4F	西洋剑	芳泽霞
main+02270C52	西奈神剑	芳泽霞
main+02270C53	西奈神剑・改	芳泽霞
main+02270C54	大怪盗手杖	主人公
main+02270C55	失乐园R	主人公
main+02270C56	扼杀的妙尔尼尔	坂本龙司
main+02270C57	破天如意棒	坂本龙司
main+02270C58	猎头巨勺	摩尔加纳
main+02270C59	光之剑R	摩尔加纳
main+02270C5A	虚幻缎带R	高卷杏
main+02270C5B	冰雪女王鞭・改	高卷杏
main+02270C5C	大深渊之鞭	高卷杏
main+02270C5D	『千两名角』・真打	喜多川佑介
main+02270C5E	薄绿・真打	喜多川佑介
main+02270C5F	大熊手套	新岛真
main+02270C60	戈耳狄俄斯	新岛真
main+02270C61	无双金刚杵	新岛真
main+02270C62	死亡承诺	奥村春
main+02270C63	恶之华战斧R	奥村春
main+02270C64	电浆小刀	主人公
main+02270C65	始祖钉锤	坂本龙司
main+02270C66	莫吉斯堤斯之剑	摩尔加纳
main+02270C67	炎魔鞭	高卷杏
main+02270C68	化结心刀	喜多川佑介
main+02270C69	流星拳套	新岛真
main+02270C6A	太极之斧	奥村春
main+02270C6B	骇人军刀	明智吾郎
main+02270C6C	白雪西洋剑	芳泽霞
main+02270C6D	惩治匕首	主人公
main+02270C6E	最终之锤	坂本龙司
main+02270C6F	矗锋锐剑	摩尔加纳
main+02270C70	缚狼锁	高卷杏
main+02270C71	天一文字	喜多川佑介
main+02270C72	拳王	新岛真
main+02270C73	十字军	奥村春
main+02270C74	断头军刀	明智吾郎
main+02270C75	穿甲刺剑	芳泽霞
main+02270C76	暗黑弯刀	摩尔加纳
main+02270C77	姆特弯刀	摩尔加纳
main+02270C78	百家乐拳套	新岛真
main+02270C79	胜利之光	明智吾郎
main+02270C7A	决意西洋剑	芳泽霞
main+02270C7B	无限军刀	明智吾郎
