基址	名称	JP_NAME	EN_NAME	角色/性别	备注&二级类别
main+02270FC9	超幸运长袍	超幸運のローブ	Super Lucky Robe	♀	
main+02270FCA	RESERVE	リザーブ	RESERVE	-	
main+02270FCB	RESERVE	リザーブ	RESERVE	-	
main+02270FCC	轻钢板护具	フルーテッドガード	Fluted Guard	♂	
main+02270FCD	装甲礼服	パンツァードレス	Panzer Dress	♀	
main+02270FCE	RESERVE	リザーブ	RESERVE	-	
main+02270FCF	鲁班尺项圈	魚班尺の首輪	Measure Collar	猫	
main+02270FD0	老旧的豹纹背心	古い豹柄ベスト	Old Vest	♂	
main+02270FD1	豹纹背心	豹柄ベスト	Leopard Print Vest	♂	
main+02270FD2	老旧的纯洁项圈	古い純真の首輪	Old Pure Collar	猫	
main+02270FD3	纯洁项圈	純真の首輪	Pure Collar	猫	
main+02270FD4	老旧的地母神黑裤袜	古い地母の黒タイツ	Old Tights	♀	
main+02270FD5	地母神黑裤袜	地母の黒タイツ	Divine Black Tights	♀	
main+02270FD6	RESERVE	リザーブ	RESERVE	-	
main+02270FD7	RESERVE	リザーブ	RESERVE	-	
main+02270FD8	消防员的号衣	火消しの法被	Fireman Happi	♂	
main+02270FD9	锐光披肩	爛欄ケープ	Glaring Cape	♀	
main+02270FDA	自我主义内搭衣	エゴイストシャツ	Egoist Shirt	♂	
main+02270FDB	清水皇冠	ウォータークラウン	Water Crown	猫	
main+02270FDC	霜精之王斗篷	Kフロストマント	King Frost Cape	♂♀	
main+02270FDD	超级霜精之王斗篷	超Kフロストマント	King Frost Cape EX	♂♀	
main+02270FDE	RESERVE	リザーブ	RESERVE	-	
main+02270FDF	RESERVE	リザーブ	RESERVE	-	
main+02270FE0	凯萨背心	カイザーベスト	Kaiser Vest	♂	
main+02270FE1	巴御前的甲胄	トモエの銅丸	Tomoe's Doumaru	♀	
main+02270FE2	RESERVE	リザーブ	RESERVE	-	
main+02270FE3	战斗围领	カンプフカラー	Kampff Collar	猫	
main+02270FE4	老旧的舞狮领巾	古い荒獅子スカーフ	Old Wild Lion Scarf	猫	
main+02270FE5	舞狮领巾	荒獅子スカーフ	Wild Lion Scarf	猫	
main+02270FE6	老旧的迦梨脚环	古いカムライターオ	Old Khamrai Tao	♀	
main+02270FE7	迦梨脚环	カムライターオ	Khamrai Tao	♀	
main+02270FE8	老旧的灵长背心	古い霊長ベスト	Old Primate Vest	♂	
main+02270FE9	灵长背心	霊長ベスト	Primate Vest	♂	
main+02270FEA	RESERVE	リザーブ	RESERVE	-	
main+02270FEB	RESERVE	リザーブ	RESERVE	-	
main+02270FEC	恶魔夹克	デモンズジャケット	Demon's Jacket	♂	
main+02270FED	燃火礼服	バーンドレス	Cozy Dress	♀	
main+02270FEE	阿卡西衬衫	アカシックシャツ	Akashic Shirt	♂♀	
main+02270FEF	热情领巾	リリカルスカーフ	Lyrical Scarf	猫	
main+02270FF0	RESERVE	リザーブ	RESERVE	-	
main+02270FF1	RESERVE	リザーブ	RESERVE	-	
main+02270FF2	RESERVE	リザーブ	RESERVE	-	
main+02270FF3	RESERVE	リザーブ	RESERVE	-	
main+02270FF4	迦尔纳的黄金甲	カルナの金衣	Karma's Robe	♂	
main+02270FF5	破天薄衣	破天の薄衣	Haten Robe	♀	
main+02270FF6	RESERVE	リザーブ	RESERVE	-	
main+02270FF7	辉煌围领	グロリアスカラー	Sublime Collar	猫	
main+02270FF8	老旧的陷罪比基尼	古い堕罪のビキニ	Old Sinful Bikini	♀	
main+02270FF9	陷罪比基尼	堕罪のビキニ	Sinful Bikini	♀	
main+02270FFA	老旧的破坏神决胜内裤	古い破壊神の勝負下着	Old Underwear	♂	
main+02270FFB	破坏神决胜内衣	破壊神の勝負下着	Lucky Underwear	♂	
main+02270FFC	老旧的无底洞领巾	古い底なしスカーフ	Old Infinity Scarf	猫	
main+02270FFD	无底洞领巾	底なしスカーフ	Bottomless Scarf	猫	
main+02270FFE	RESERVE	リザーブ	RESERVE	-	
main+02270FFF	RESERVE	リザーブ	RESERVE	-	
main+02271000	RESERVE	リザーブ	RESERVE	-	
main+02271001	RESERVE	リザーブ	RESERVE	-	
main+02271002	慈悲领巾	慈悲のスカーフ	Scarf of Mercy	猫	
main+02271003	RESERVE	リザーブ	RESERVE	-	
main+02271004	RESERVE	リザーブ	RESERVE	-	
main+02271005	RESERVE	リザーブ	RESERVE	-	
main+02271006	RESERVE	リザーブ	RESERVE	-	
main+02271007	RESERVE	リザーブ	RESERVE	-	
main+02271008	永生背心	イモータルベスト	Immortal Vest	♂	
main+02271009	RESERVE	リザーブ	RESERVE	-	
main+0227100A	老旧的黑死裤袜	古い黒死のタイツ	Old Black Tights	♂	
main+0227100B	黑死裤袜	黒死のタイツ	Death's Black Tights	♂	
main+0227100C	老旧的美魔女黑衣	古い美魔女の黒衣	Old Witch's Robe	♀	
main+0227100D	美魔女黑衣	美魔女の黒衣	Lovely Witch's Robe	♀	
main+0227100E	老旧的龙皮领巾	古い竜皮のスカーフ	Old Scale Scarf	猫	
main+0227100F	龙皮领巾	竜皮のスカーフ	Dragon Scale Scarf	猫	
main+02271010	RESERVE	リザーブ	RESERVE	-	
main+02271011	RESERVE	リザーブ	RESERVE	-	
main+02271012	RESERVE	リザーブ	RESERVE	-	
main+02271013	RESERVE	リザーブ	RESERVE	-	
main+02271014	弘誓之铠	弘誓の鎧	Tantric Oath	♂	
main+02271015	黑夹克	ブラックジャケット	Black Jacket	♂	
main+02271016	国造之衣	国造の衣	Official's Robe	♂	
main+02271017	弘誓之铠R	弘誓の鎧R	Tantric Oath R	♂	
main+02271018	RESERVE	リザーブ	RESERVE	-	
main+02271019	大天使胸衣	大天使のブラ	Archangel Bra	♀	
main+0227101A	RESERVE	リザーブ	RESERVE	-	
main+0227101B	超天使胸衣	超天使のブラ	High Archangel Bra	♀	
main+0227101C	RESERVE	リザーブ	RESERVE	-	
main+0227101D	黑羽之衣	黒羽の衣	Black Wing Robe	♂♀	
main+0227101E	黑羽之衣R	黒衣の衣R	Black Wing Robe R	♂♀	
main+0227101F	暗黑夹克	ダークジャケット	Dark Jacket	♂	
main+02271020	RESERVE	リザーブ	RESERVE	-	
main+02271021	国造之衣R	国造の衣R	Official's Robe R	♂	
main+02271022	黑布	黒い布	Black Robe	♂	
main+02271023	RESERVE	リザーブ	RESERVE	-	
main+02271024	月光之衣	月光の衣R	Moonlight Robe R	♀	
main+02271025	笨拙的缠胸布	不器用なさらし	Weird Wrap	♂♀	
main+02271026	月光之衣R	月光の衣	Moonlight Robe	♀	
main+02271027	明星之铠	明星の鎧	Sirius Armor	♂♀	
main+02271028	极・明星之铠	極・明星の鎧	Sirius Armor EX	♂♀	
main+02271029	神使的老旧防具	御使いのすすけた防具	Sooty Ladies' Armor	♀	
main+0227102A	靴子猫的老旧防具	長靴猫のすすけた防具	Sooty Boots	猫	
main+0227102B	重骑土的老旧防具	重騎士のすすけた防具	Sooty Heavy Armor	♂	
main+0227102C	依附体的老旧防具	憑代のすすけた防具	Sooty Yorishiro	♂	
main+0227102D	长老的老旧防具	長老のすすけた防具	Sooty Elder's Armor	猫	
main+0227102E	花少女的老旧防具	花少女のすすけた防具	Sooty Cheongsam	♀	
main+0227102F	落败者的老旧防具	落人のすすけた防具	Sooty Man's Armor	♂	
main+02271030	老猫的老旧防具	老猫のすすけた防具	Sooty Cat's Armor	猫	
main+02271031	女鬼的老旧防具	女鬼のすすけた防具	Sooty Ogress' Gear	♀	
main+02271032	狼人的老旧防具	狼人のすすけた防具	Sooty Wolf's Coat	♂	
main+02271033	女神的老旧防具	女神のすすけた防具	Sooty Divine Armor	♀	
main+02271034	蛇男的老旧防具	ヘビ男のすすけた防具	Sooty Snakeskin	猫	
main+02271035	恶女的老旧防具	悪女のすすけた防具	Sooty Astro Armor	♀	
main+02271036	雷鸟的老旧防具	雷鳥のすすけた防具	Sooty Feather Coat	猫	
main+02271037	黑象的老旧防具	黒ゾウのすすけた防具	Sooty Black Armor	♂	
main+02271038	雄豹的老旧防具	雄豹のすすけた防具	Sooty Spotted Fur	♂	
main+02271039	独角兽的老旧防具	一角獣のすすけた防具	Sooty Horn	猫	
main+0227103A	影女的老旧防具	影女のすすけた防具	Sooty Grifter's Garb	♀	
main+0227103B	狮子的老旧防具	獅子のすすけた防具	Sooty Lion's Mane	猫	
main+0227103C	猴王子的老旧防具	猿王子のすすけた防具	Sooty Monkey Fur	♂	
main+0227103D	黑女王的老旧防具	黒女王のすすけた防具	Sooty Regalia	♀	
main+0227103E	大淫妇的老旧防具	大淫婦のすすけた防具	Sooty Rogue's Garb	♀	
main+0227103F	雷帝的老旧防具	雷帝のすすけた防具	Sooty Bolt Armor	♂	
main+02271040	贪婪之王的老旧防具	貪欲王のすすけた防具	Sooty Gilded Collar	猫	
main+02271041	舞者的老旧防具	踊り手のすすけた防具	Sooty Dancer's Garb	♂	
main+02271042	咒术师的老旧防具	呪術師のすすけた防具	Sooty Dark Armor	♀	
main+02271043	邪龙的老旧防具	邪竜のすすけた防具	Sooty Scale Armor	猫	
main+02271044	RESERVE	リザーブ	RESERVE	-	
main+02271045	RESERVE	リザーブ	RESERVE	-	
main+02271046	RESERVE	リザーブ	RESERVE	-	
main+02271047	RESERVE	リザーブ	RESERVE	-	
main+02271048	RESERVE	リザーブ	RESERVE	-	
main+02271049	RESERVE	リザーブ	RESERVE	-	
main+0227104A	RESERVE	リザーブ	RESERVE	-	
main+0227104B	RESERVE	リザーブ	RESERVE	-	
main+0227104C	RESERVE	リザーブ	RESERVE	-	
main+0227104D	RESERVE	リザーブ	RESERVE	-	
main+0227104E	RESERVE	リザーブ	RESERVE	-	
main+0227104F	RESERVE	リザーブ	RESERVE	-	
main+02271050	RESERVE	リザーブ	RESERVE	-	
main+02271051	RESERVE	リザーブ	RESERVE	-	
main+02271052	RESERVE	リザーブ	RESERVE	-	
main+02271053	RESERVE	リザーブ	RESERVE	-	
main+02271054	RESERVE	リザーブ	RESERVE	-	
main+02271055	RESERVE	リザーブ	RESERVE	-	
main+02271056	RESERVE	リザーブ	RESERVE	-	
main+02271057	RESERVE	リザーブ	RESERVE	-	
main+02271058	RESERVE	リザーブ	RESERVE	-	
main+02271059	RESERVE	リザーブ	RESERVE	-	
main+0227105A	RESERVE	リザーブ	RESERVE	-	
main+0227105B	RESERVE	リザーブ	RESERVE	-	
main+0227105C	RESERVE	リザーブ	RESERVE	-	
main+0227105D	RESERVE	リザーブ	RESERVE	-	
main+0227105E	RESERVE	リザーブ	RESERVE	-	
main+0227105F	RESERVE	リザーブ	RESERVE	-	
main+02271060	RESERVE	リザーブ	RESERVE	-	
main+02271061	光辉背心	光明ベスト	Shining Vest	♂	
main+02271062	道教长袍	タオのローブ	Tao Robe	♀	
main+02271063	理想领巾	イデアスカーフ	Philosophical Scarf	猫	
main+02271064	菩提羽织	菩提の羽織	Bodhi Haori	♂♀	
main+02271065	神圣护具	ディバインガード	Divine Guard	♂	
main+02271066	纤合礼服	ウニオドレス	Unio Dress	♀	
main+02271067	完满围领	プレロマカラー	Pleroma Collar	猫	
main+02271068	RESERVE	リザーブ	RESERVE	-	
main+02271069	赌徒的素色衬衫	勝負師のワイシャツ	Gambler's Shirt	♂	
main+0227106A	坚定衬衫	不動のシャツ	Immovable Shirt	♂♀	
main+0227106B	生命背心	生命のベスト	Vest of Life	♂♀	
main+0227106C	RESERVE	リザーブ	RESERVE	-	
main+0227106D	RESERVE	リザーブ	RESERVE	-	
main+0227106E	夜哨的护胸	夜警の胸当て	Nightwatch Armor	♂	
main+0227106F	金色防弹背心	金色プレートキャリア	Golden Vest	♂♀	
main+02271070	怨念长袍	怨念のローブ	Robe of Hatred	♀	
main+02271071	太空防护衣	宇宙服プロテクター	Space Suit	♂♀	
main+02271072	黄衣礼服	黄衣のドレス	Golden Dress	♀	
main+02271073	星之智慧背心	星の知慧ベスト	Starry Wisdom Vest	♂	
main+02271074	0x120	0x120	0x120	-	未使用
main+02271075	0x121	0x121	0x121	-	未使用
main+02271076	0x122	0x122	0x122	-	未使用
main+02271077	0x123	0x123	0x123	-	未使用
main+02271078	0x124	0x124	0x124	-	未使用
main+02271079	0x125	0x125	0x125	-	未使用
main+0227107A	0x126	0x126	0x126	-	未使用
main+0227107B	0x127	0x127	0x127	-	未使用
main+0227107C	0x128	0x128	0x128	-	未使用
main+0227107D	0x129	0x129	0x129	-	未使用
main+0227107E	0x12A	0x12A	0x12A	-	未使用
main+0227107F	0x12B	0x12B	0x12B	-	未使用
main+02271080	0x12C	0x12C	0x12C	-	未使用
