基址	名称	JP_NAME	EN_NAME	角色/性别
main+022724B0	RESERVE	リザーブ	RESERVE	摩尔加纳
main+022724B1	北极光	ノーザンライト	Northern Light	摩尔加纳
main+022724B2	流星	流れ星	Shooting Star	摩尔加纳
main+022724B3	巨星落炮	巨星落砲	Star Slayer	摩尔加纳
main+022724B4	仿制机关枪	マシンガンレプリカ	Replica SMG	高卷杏
main+022724B5	RESERVE	リザーブ	RESERVE	高卷杏
main+022724B6	RESERVE	リザーブ	RESERVE	高卷杏
main+022724B7	骑兵	トルーパー	Trooper	高卷杏
main+022724B8	RESERVE	リザーブ	RESERVE	高卷杏
main+022724B9	RESERVE	リザーブ	RESERVE	高卷杏
main+022724BA	闪雷MG	ブリッツＭＧ	Blitz MG	高卷杏
main+022724BB	RESERVE	リザーブ	RESERVE	高卷杏
main+022724BC	RESERVE	リザーブ	RESERVE	高卷杏
main+022724BD	RESERVE	リザーブ	RESERVE	高卷杏
main+022724BE	RESERVE	リザーブ	RESERVE	高卷杏
main+022724BF	RESERVE	リザーブ	RESERVE	高卷杏
main+022724C0	冷血	ノーマーシー	No Mercy	高卷杏
main+022724C1	RESERVE	リザーブ	RESERVE	高卷杏
main+022724C2	卫斯坦SMG	ウェスタンＳＭＧ	Western SMG	高卷杏
main+022724C3	RESERVE	リザーブ	RESERVE	高卷杏
main+022724C4	RESERVE	リザーブ	RESERVE	高卷杏
main+022724C5	RESERVE	リザーブ	RESERVE	高卷杏
main+022724C6	RESERVE	リザーブ	RESERVE	高卷杏
main+022724C7	飞燕连发炮	飛燕連発砲	H. Renhappou	高卷杏
main+022724C8	RESERVE	リザーブ	RESERVE	高卷杏
main+022724C9	RESERVE	リザーブ	RESERVE	高卷杏
main+022724CA	RESERVE	リザーブ	RESERVE	高卷杏
main+022724CB	RESERVE	リザーブ	RESERVE	高卷杏
main+022724CC	RESERVE	リザーブ	RESERVE	高卷杏
main+022724CD	巴拉莱卡	バラライカ	Balalaika	高卷杏
main+022724CE	斯塔利吉	スターリッジ	Sterlidge	高卷杏
main+022724CF	粉红射手	ピンクショット	Brain Shot	高卷杏
main+022724D0	粉红炸弹客	ピンクバスタ	Pink Buster	高卷杏
main+022724D1	永恒之枪	グングニル	Gungnir	高卷杏
main+022724D2	捕鸟蛛	タランチュラ	Tarantula	高卷杏
main+022724D3	RESERVE	リザーブ	RESERVE	高卷杏
main+022724D4	仿制突击步枪	突撃銃レプリカ	Replica AR	喜多川佑介
main+022724D5	黑色突击	ブラックアサルト	Black Assault	喜多川佑介
main+022724D6	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724D7	重型突击	ヘビーアサルト	Heavy Assault	喜多川佑介
main+022724D8	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724D9	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724DA	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724DB	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724DC	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724DD	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724DE	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724DF	歼灭者	アナイアレスター	Annihilator	喜多川佑介
main+022724E0	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724E1	AR-X	ARX	AR-X	喜多川佑介
main+022724E2	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724E3	火筒	火筒	Hizutsu	喜多川佑介
main+022724E4	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724E5	九头龙大豪炮	九頭竜の大豪砲	K. Gouhou EX	喜多川佑介
main+022724E6	天帝	プロヴィデンス	Providence	喜多川佑介
main+022724E7	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724E8	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724E9	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724EA	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724EB	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724EC	九头龙豪炮	九頭竜の豪砲	K. Gouhou	喜多川佑介
main+022724ED	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724EE	反叛步枪	反逆のライフル	Rebel Rifle	喜多川佑介
main+022724EF	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724F0	STAR-H	STARH	Star-H	喜多川佑介
main+022724F1	RESERVE	リザーブ	RESERVE	喜多川佑介
main+022724F2	龙雷炮	竜雷砲	Ryuraihou	喜多川佑介
main+022724F3	天堂之门	ヘブンズゲイト	Heaven's Gate	喜多川佑介
main+022724F4	仿制左轮	リボルバーレプリカ	Replica Revolver	新岛真
main+022724F5	和平使者	ピースメイカー	Peacemaker	新岛真
main+022724F6	RESERVE	リザーブ	RESERVE	新岛真
main+022724F7	RESERVE	リザーブ	RESERVE	新岛真
main+022724F8	RESERVE	リザーブ	RESERVE	新岛真
main+022724F9	铃星回转手枪	鈴星回転拳銃	Ling Xing	新岛真
main+022724FA	RESERVE	リザーブ	RESERVE	新岛真
main+022724FB	RESERVE	リザーブ	RESERVE	新岛真
main+022724FC	RESERVE	リザーブ	RESERVE	新岛真
main+022724FD	RESERVE	リザーブ	RESERVE	新岛真
main+022724FE	RESERVE	リザーブ	RESERVE	新岛真
main+022724FF	RESERVE	リザーブ	RESERVE	新岛真
main+02272500	RESERVE	リザーブ	RESERVE	新岛真
main+02272501	极・米利亚那	極・ミルリアナ	Mirrirmina EX	新岛真
main+02272502	审判终结	ジャッジエンド	Judge End	新岛真
main+02272503	RESERVE	リザーブ	RESERVE	新岛真
main+02272504	RESERVE	リザーブ	RESERVE	新岛真
main+02272505	RESERVE	リザーブ	RESERVE	新岛真
main+02272506	RESERVE	リザーブ	RESERVE	新岛真
main+02272507	RESERVE	リザーブ	RESERVE	新岛真
main+02272508	无限	ノンリミテッド	Unlimited	新岛真
main+02272509	RESERVE	リザーブ	RESERVE	新岛真
main+0227250A	米利亚那	ミルリアナ	Mirrirmina	新岛真
main+0227250B	野角	ワイルドボーン	Wildborn	新岛真
main+0227250C	浸礼	バプティスト	Baptism	新岛真
main+0227250D	大蛇	オロチ	Orochi	新岛真
main+0227250E	暮光	トワイライト	Twilight	新岛真
main+0227250F	地狱审判	ジャッジオブヘル	Judge of Hell	新岛真
main+02272510	怒发冲冠	怒髪天	Fury	坂本龙司
main+02272511	瘟神枪	カラミティガン	Calamity Gun	坂本龙司
main+02272512	鬼雷炮	鬼雷砲	Kiraihou	坂本龙司
main+02272513	米吉多之火	メギドファイア	Megido Fire	坂本龙司
main+02272514	仿制GL	GLレプリカ	GL Replica	奥村春
main+02272515	猫拳炸弹	ネコパンチバズ	Pawzooka	奥村春
main+02272516	RESERVE	リザーブ	RESERVE	奥村春
main+02272517	RESERVE	リザーブ	RESERVE	奥村春
main+02272518	RESERVE	リザーブ	RESERVE	奥村春
main+02272519	酷热	スコーチャー	Scorcher	奥村春
main+0227251A	猫拳火箭炮	ネコパンチボンバ	Paw-omber	奥村春
main+0227251B	RESERVE	リザーブ	RESERVE	奥村春
main+0227251C	RESERVE	リザーブ	RESERVE	奥村春
main+0227251D	RESERVE	リザーブ	RESERVE	奥村春
main+0227251E	RESERVE	リザーブ	RESERVE	奥村春
main+0227251F	消除枪	イレイスガン	Eraser	奥村春
main+02272520	米尔科姆	ミル・コウ	Milkor	奥村春
main+02272521	极・巴力雷棍	極・ヤグルシ	Yagrush EX	奥村春
main+02272522	RESERVE	リザーブ	RESERVE	奥村春
main+02272523	RESERVE	リザーブ	RESERVE	奥村春
main+02272524	RESERVE	リザーブ	RESERVE	奥村春
main+02272525	RESERVE	リザーブ	RESERVE	奥村春
main+02272526	RESERVE	リザーブ	RESERVE	奥村春
main+02272527	RESERVE	リザーブ	RESERVE	奥村春
main+02272528	燃城	タウンバーナー	Town Burner	奥村春
main+02272529	RESERVE	リザーブ	RESERVE	奥村春
main+0227252A	魔窟	パンデモニアム	Pandemonium	奥村春
main+0227252B	巴力雷棍	ヤグルシ	Yagrush	奥村春
main+0227252C	RESERVE	リザーブ	RESERVE	高卷杏
main+0227252D	RESERVE	リザーブ	RESERVE	高卷杏
main+0227252E	幻影杀手	ファントムキラー	Phantom Killer	高卷杏
main+0227252F	狂野狩猎	ワイルドハント	Wild Hunt	高卷杏
main+02272530	RESERVE	リザーブ	RESERVE	摩尔加纳
main+02272531	RESERVE	リザーブ	RESERVE	明智吾郎
main+02272532	RESERVE	リザーブ	RESERVE	-
main+02272533	RESERVE	リザーブ	RESERVE	-
main+02272534	梅比乌斯	メヴィウス	Moebius	明智吾郎
main+02272535	RESERVE	リザーブ	RESERVE	明智吾郎
main+02272536	天狼星	シリウス	Sirius	明智吾郎
main+02272537	红五	レッドファイブ	Red Five	明智吾郎
main+02272538	弹弓枪	スリングボウ	Slingbow	摩尔加纳
main+02272539	RESERVE	リザーブ	RESERVE	摩尔加纳
main+0227253A	乌托邦	ユートピア	Utopia	摩尔加纳
main+0227253B	善见神轮	スダルサナ	Sudarshana	摩尔加纳
main+0227253C	RESERVE	リザーブ	RESERVE	主人公
main+0227253D	RESERVE	リザーブ	RESERVE	主人公
main+0227253E	源天	フロムヘブン	From Heaven	主人公
main+0227253F	毁灭日	ドゥームズデイ	Doomsday	明智吾郎
main+02272540	亘古常在者	エンシェントデイ	Ancient Day	明智吾郎
main+02272541	RESERVE	リザーブ	RESERVE	主人公
main+02272542	RESERVE	リザーブ	RESERVE	主人公
main+02272543	RESERVE	リザーブ	RESERVE	主人公
main+02272544	R・1・手枪	R.I.ピストル	R.I.Pistol	主人公
main+02272545	开头赌场用	冒頭カジノ用	Casino Start	主人公
main+02272546	千瓣莲花	サハスラーラ	Sahasrara	芳泽霞
main+02272547	极・千瓣莲花	極・サハスラーラ	Sahasrara EX	芳泽霞
main+02272548	破坏神皇	破壊神皇	Nataraja	主人公
main+02272549	RESERVE	リザーブ	RESERVE	主人公
main+0227254A	沙漠之鹰	サンドホーク	Sand Hawk	主人公
main+0227254B	艾米尼塔	エリミネーター	Eliminator	主人公
main+0227254C	深红之枪	深紅の銃	Crimson Gun	主人公
main+0227254D	毛瑟枪	マウザー	Mauser	明智吾郎
main+0227254E	黄衣女孩	イエローガール	Yellow Girl	芳泽霞
main+0227254F	悲叹冥河	コサイタス	Cocytus	主人公
main+02272550	万魔枪	万魔の銃	Tyrant Pistol	主人公
main+02272551	仿制双管步枪	Wライフルレプリカ	W Rifle Replica	芳泽霞
main+02272552	霞赌场战枪	かすみカジノ戦銃	Casino Battle Gun	芳泽霞
main+02272553	罗斯福	ルーズベルト	Roosevelt	芳泽霞
