初始基址	EN_NAME	名称	JP_NAME	激活		ID		等级		特性		EXP				技能1		技能2		技能3		技能4		技能5		技能6		技能7		技能8		力	魔	耐	速	运														
main+02273420	Apsaras	飞天	アプサラス	01	00	65	00	0B	00	B4	00	00	00	00	00	6D	01	7D	01	14	00	00	00	00	00	00	00	00	00	00	00	07	0B	06	0A	06	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273450	Ara Mitama	荒魂	アラミタマ	01	00	99	00	1E	00	A6	00	00	00	00	00	CE	00	4A	00	5C	00	00	00	00	00	00	00	00	00	00	00	14	12	14	14	13	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273480	Arahabaki	荒霸吐	アラハバキ	01	00	4B	00	23	00	47	00	00	00	00	00	73	01	5F	00	AA	03	00	00	00	00	00	00	00	00	00	00	15	17	16	18	16	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022734B0	Archangel	大天使	アークエンジェル	01	00	37	00	0E	00	49	00	00	00	00	00	D3	00	50	00	32	00	00	00	00	00	00	00	00	00	00	00	0B	09	0A	0C	07	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022734E0	Ardha	阿尔达	アルダー	01	00	A4	00	54	00	B0	00	00	00	00	00	CB	00	B1	00	45	03	00	00	00	00	00	00	00	00	00	00	36	38	37	36	28	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273510	Ariadne	阿里阿德涅	アリアドネ	01	00	BA	00	1E	00	B8	00	00	00	00	00	C5	02	58	03	CE	00	00	00	00	00	00	00	00	00	00	00	17	13	14	11	12	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273540	Ariadne Picaro	阿里阿德涅・贼神	アリアドネ・賊神	01	00	C4	00	2A	00	B8	00	00	00	00	00	C5	02	58	03	CE	00	00	00	00	00	00	00	00	00	00	00	24	17	1D	18	15	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273570	Arsene	亚森	アルセーヌ	01	00	C9	00	01	00	56	00	00	00	00	00	40	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	02	02	02	03	01	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022735A0	Asterius	阿斯忒里俄斯	アステリオス	01	00	BB	00	38	00	26	00	00	00	00	00	C6	02	0F	00	AC	03	00	00	00	00	00	00	00	00	00	00	2B	2B	20	20	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022735D0	Asterius Picaro	阿斯忒里俄斯・贼神	アステリオス・賊神	01	00	C5	00	3E	00	26	00	00	00	00	00	C6	02	0F	00	AC	03	00	00	00	00	00	00	00	00	00	00	2E	2E	24	24	1D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273600	Asura	阿修罗王	アスラおう	01	00	9E	00	4C	00	A7	00	00	00	00	00	B0	00	35	00	55	01	00	00	00	00	00	00	00	00	00	00	34	30	33	31	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273630	Atavaka	大元帅明王	アタバク	01	00	B3	01	41	00	09	00	00	00	00	00	0F	00	14	01	33	01	00	00	00	00	00	00	00	00	00	00	33	24	2B	26	22	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273660	Athena	雅典娜	アテナ	01	00	6A	01	2E	00	C3	00	00	00	00	00	CB	02	55	01	DD	00	00	00	00	00	00	00	00	00	00	00	21	1B	1D	1D	1B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273690	Athena Picaro	雅典娜・贼神	アテナ・賊神	01	00	70	01	32	00	C3	00	00	00	00	00	CB	02	54	01	DD	00	00	00	00	00	00	00	00	00	00	00	23	1E	1F	20	1D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022736C0	Atropos	阿特罗波斯	アトロポス	01	00	A3	00	27	00	36	00	00	00	00	00	2C	00	7C	01	84	01	00	00	00	00	00	00	00	00	00	00	17	1E	16	1B	16	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022736F0	Attis	阿提斯	アティス	01	00	21	01	52	00	57	00	00	00	00	00	0F	00	3E	01	57	01	00	00	00	00	00	00	00	00	00	00	31	32	30	36	34	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273720	Baal	巴力	バアル	01	00	7A	00	52	00	A2	00	00	00	00	00	8C	00	6E	01	54	01	00	00	00	00	00	00	00	00	00	00	36	3A	35	2F	29	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273750	Baphomet	巴风特	バフォメット	01	00	88	00	3A	00	4F	00	00	00	00	00	0C	00	2B	03	AC	03	00	00	00	00	00	00	00	00	00	00	22	2A	24	26	1F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273780	Barong	巴隆	バロン	01	00	1B	00	34	00	A8	00	00	00	00	00	2A	00	5D	00	44	03	00	00	00	00	00	00	00	00	00	00	21	23	21	25	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022737B0	Beelzebub	别西卜	ベルゼブブ	01	00	02	00	57	00	AB	00	00	00	00	00	45	00	3F	00	55	00	00	00	00	00	00	00	00	00	00	00	37	3D	36	38	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022737E0	Belial	彼列	ベリアル	01	00	3E	00	52	00	BB	00	00	00	00	00	42	00	10	01	D6	03	00	00	00	00	00	00	00	00	00	00	34	35	33	30	31	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273810	Belphegor	贝尔芬格	ベルフェゴール	01	00	8E	00	25	00	2E	00	00	00	00	00	18	00	82	01	00	00	00	00	00	00	00	00	00	00	00	00	19	1B	18	17	13	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273840	Berith	比利士	ベリス	01	00	8F	00	09	00	BA	00	00	00	00	00	D2	00	50	01	00	00	00	00	00	00	00	00	00	00	00	00	09	06	08	08	03	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273870	Bicorn	双角兽	バイコーン	01	00	7F	00	04	00	39	00	00	00	00	00	C8	00	59	01	00	00	00	00	00	00	00	00	00	00	00	00	05	03	03	05	03	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022738A0	Bishamonten	毘沙门天	ビシャモンテン	01	00	15	01	43	00	09	00	00	00	00	00	4B	00	2E	01	DE	00	00	00	00	00	00	00	00	00	00	00	33	25	2A	2C	22	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022738D0	Black Frost	邪恶霜精	ジャアクフロスト	01	00	4A	00	43	00	9E	00	00	00	00	00	19	00	E2	00	CE	00	00	00	00	00	00	00	00	00	00	00	2C	2E	29	2A	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273900	Black Ooze	黑软泥怪	ブラックウーズ	01	00	7E	00	12	00	46	00	00	00	00	00	04	01	54	00	6E	00	00	00	00	00	00	00	00	00	00	00	0F	07	10	08	0F	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273930	Black Rider	黑骑士	ブラックライダー	01	00	31	01	3B	00	58	00	00	00	00	00	3F	00	0E	01	45	00	00	00	00	00	00	00	00	00	00	00	24	2A	22	2A	1E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273960	Bugs	巴古斯	バグス	01	00	7D	00	31	00	B2	00	00	00	00	00	CE	00	60	01	C0	00	37	01	00	00	00	00	00	00	00	00	23	21	1E	20	18	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273990	Byakhee	拜亚基	ビヤーキー	01	00	AC	01	46	00	9C	00	00	00	00	00	0C	00	6E	00	D9	00	00	00	00	00	00	00	00	00	00	00	2A	31	2B	33	20	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022739C0	Byakko	白虎	ビャッコ	01	00	14	01	2D	00	3E	00	00	00	00	00	F2	00	18	00	21	03	00	00	00	00	00	00	00	00	00	00	23	1C	1E	20	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022739F0	Caith Sith	凯特西	ケットシー	01	00	B4	01	05	00	4F	00	00	00	00	00	0A	00	D2	00	4F	01	00	00	00	00	00	00	00	00	00	00	06	04	04	05	03	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273A20	Cerberus	克鲁贝洛斯	ケルベロス	01	00	07	00	37	00	9C	00	00	00	00	00	0C	00	CA	00	00	00	00	00	00	00	00	00	00	00	00	00	27	23	20	27	1B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273A50	Chernobog	切尔诺伯格	チェルノボグ	01	00	41	00	3E	00	BA	00	00	00	00	00	3D	00	10	01	FE	00	00	00	00	00	00	00	00	00	00	00	28	25	27	26	27	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273A80	Chi You	蚩尤	シュウ	01	00	4F	00	58	00	A5	00	00	00	00	00	C5	00	86	03	ED	00	00	00	00	00	00	00	00	00	00	00	38	39	36	35	33	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273AB0	Chimera	奇美拉	キマイラ	01	00	B2	01	4A	00	11	00	00	00	00	00	0F	00	EC	00	16	00	00	00	00	00	00	00	00	00	00	00	33	28	2A	30	30	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273AE0	Choronzon	克伦佐	コロンゾン	01	00	90	00	1C	00	B6	00	00	00	00	00	52	00	67	00	F1	00	00	00	00	00	00	00	00	00	00	00	10	13	13	12	13	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273B10	Clotho	克洛托	クロト	01	00	A1	00	1B	00	0E	00	00	00	00	00	34	00	4A	01	56	00	00	00	00	00	00	00	00	00	00	00	0E	13	12	14	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273B40	Crystal Skull	水晶骷髅	水晶髑髏	01	00	71	00	32	00	20	01	00	00	00	00	0F	00	19	00	23	00	2D	00	C3	00	4E	00	3A	00	45	00	32	32	32	32	32	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273B70	Cu Chulainn	库夫林	クー・フーリン	01	00	03	00	4C	00	B2	00	00	00	00	00	22	03	E2	00	6D	01	00	00	00	00	00	00	00	00	00	00	37	2C	2E	30	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273BA0	Cybele	库柏勒	キュベレ	01	00	40	00	53	00	4A	00	00	00	00	00	37	01	33	01	3B	00	00	00	00	00	00	00	00	00	00	00	2C	39	31	33	37	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273BD0	Daisoujou	大僧正	だいそうじょう	01	00	1A	01	28	00	B6	00	00	00	00	00	68	00	3A	00	00	00	00	00	00	00	00	00	00	00	00	00	15	21	18	18	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273C00	Dakini	荼吉尼	ダーキニー	01	00	7B	00	32	00	49	00	00	00	00	00	15	01	FE	00	DD	00	00	00	00	00	00	00	00	00	00	00	22	20	22	1C	1D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273C30	Decarabia	单卡拉比	デカラビア	01	00	0C	00	20	00	9C	00	00	00	00	00	0B	00	5E	00	00	00	00	00	00	00	00	00	00	00	00	00	15	17	13	16	12	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273C60	Dionysus	狄俄尼索斯	ディオニュソス	01	00	64	00	47	00	56	00	00	00	00	00	2D	00	2A	00	61	00	00	00	00	00	00	00	00	00	00	00	2A	30	2C	2A	2C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273C90	Dominion	主天使	ドミニオン	01	00	48	00	44	00	A8	00	00	00	00	00	57	00	33	00	38	00	00	00	00	00	00	00	00	00	00	00	2A	2D	2B	2C	25	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273CC0	Eligor	埃力格	エリゴール	01	00	09	00	10	00	4F	00	00	00	00	00	0D	00	57	03	4F	01	00	00	00	00	00	00	00	00	00	00	0C	0A	0D	0A	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273CF0	Emperor's Amulet	大帝的护符	大帝の護符	01	00	6F	00	23	00	1E	01	00	00	00	00	0C	00	16	00	20	00	2A	00	C0	00	4B	00	38	00	42	00	23	23	23	23	23	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273D20	Fafnir	法夫纳	ファフニール	01	00	AB	01	56	00	61	00	00	00	00	00	ED	00	55	00	B1	00	00	00	00	00	00	00	00	00	00	00	3D	37	3A	30	2B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273D50	Flauros	佛劳洛斯	フラロウス	01	00	42	00	13	00	AD	00	00	00	00	00	D3	00	13	01	64	01	4F	01	00	00	00	00	00	00	00	00	0F	0B	0D	0E	0B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273D80	Forneus	佛钮司	フォルネウス	01	00	24	00	3F	00	BB	00	00	00	00	00	C0	00	60	01	61	00	00	00	00	00	00	00	00	00	00	00	29	27	28	2A	22	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273DB0	Fortuna	福尔图娜	フォルトゥナ	01	00	10	01	2E	00	A2	00	00	00	00	00	22	00	56	01	74	01	00	00	00	00	00	00	00	00	00	00	17	20	1D	22	1B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273DE0	Futsunushi	经津主	フツヌシ	01	00	03	01	56	00	BC	00	00	00	00	00	FE	00	54	01	58	03	00	00	00	00	00	00	00	00	00	00	3C	3A	37	34	28	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273E10	Fuu-Ki	风鬼	フウキ	01	00	5F	00	17	00	2E	00	00	00	00	00	77	01	4F	01	1F	00	00	00	00	00	00	00	00	00	00	00	0E	11	10	0F	0E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273E40	Gabriel	加百列	ガブリエル	01	00	2D	00	4D	00	06	00	00	00	00	00	2D	00	19	00	00	00	00	00	00	00	00	00	00	00	00	00	2B	33	30	36	2A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273E70	Ganesha	葛内舍	ガネーシャ	01	00	15	00	35	00	AD	00	00	00	00	00	CE	00	FD	00	6D	01	00	00	00	00	00	00	00	00	00	00	27	1F	25	21	1A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273EA0	Garuda	迦楼罗	ガルーダ	01	00	8B	00	34	00	A2	00	00	00	00	00	20	00	0F	01	00	00	00	00	00	00	00	00	00	00	00	00	1E	24	1D	27	1D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273ED0	Genbu	玄武	ゲンブ	01	00	13	01	07	00	18	00	00	00	00	00	14	00	5A	01	00	00	00	00	00	00	00	00	00	00	00	00	05	06	07	06	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273F00	Girimehkala	基力梅卡拉	ギリメカラ	01	00	1C	00	2B	00	AA	00	00	00	00	00	3D	00	5F	01	F3	00	00	00	00	00	00	00	00	00	00	00	20	18	20	1D	13	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273F30	Hanuman	哈奴曼	ハヌマーン	01	00	36	00	40	00	B2	00	00	00	00	00	FD	00	5E	01	6E	01	00	00	00	00	00	00	00	00	00	00	2B	26	28	28	26	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273F60	Hariti	诃梨帝母	ハリティー	01	00	A7	00	28	00	A0	00	00	00	00	00	29	00	47	01	4B	01	00	00	00	00	00	00	00	00	00	00	15	20	18	17	1B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273F90	Hastur	哈斯塔	ハスター	01	00	AD	01	54	00	AF	00	00	00	00	00	8D	00	51	00	5C	01	00	00	00	00	00	00	00	00	00	00	33	3B	34	38	29	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273FC0	Hecatoncheires	百臂巨人	ヘカトンケイル	01	00	A9	00	2A	00	AD	00	00	00	00	00	F2	00	3F	03	4F	01	60	01	00	00	00	00	00	00	00	00	23	16	1B	17	1A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02273FF0	Hell Biker	地狱天使	ヘルズエンジェル	01	00	19	01	25	00	B4	00	00	00	00	00	3D	00	0B	00	4E	03	00	00	00	00	00	00	00	00	00	00	17	18	18	1E	11	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274020	High Pixie	高等皮克希	ハイピクシー	01	00	1A	00	10	00	49	00	00	00	00	00	1E	00	31	01	5A	00	00	00	00	00	00	00	00	00	00	00	08	0E	0A	0D	0A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274050	Hope Diamond	希望钻石	ホープダイヤ	01	00	70	00	28	00	1F	01	00	00	00	00	49	03	4C	03	4F	03	25	03	3F	03	44	03	22	03	52	03	28	28	28	28	28	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274080	Horus	荷鲁斯	ホルス	01	00	1F	01	2F	00	B2	00	00	00	00	00	47	00	2D	01	38	00	00	00	00	00	00	00	00	00	00	00	1E	20	1D	23	16	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022740B0	Hua Po	花魄	カハク	01	00	0B	00	09	00	4F	00	00	00	00	00	0A	00	5A	00	00	00	00	00	00	00	00	00	00	00	00	00	04	0A	04	08	08	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022740E0	Incubus	男梦魔	インキュバス	01	00	27	00	05	00	B6	00	00	00	00	00	67	00	09	01	00	00	00	00	00	00	00	00	00	00	00	00	04	06	04	05	03	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274110	Inugami	犬神	イヌガミ	01	00	51	00	0E	00	4E	00	00	00	00	00	52	00	4F	01	D3	00	00	00	00	00	00	00	00	00	00	00	0B	09	09	0C	08	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274140	Ippon-Datara	一本踏鞴	イッポンダタラ	01	00	43	00	0D	00	39	00	00	00	00	00	04	01	4F	01	98	03	00	00	00	00	00	00	00	00	00	00	0B	07	0E	06	08	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274170	Ishtar	伊丝塔	イシュタル	01	00	06	01	55	00	0A	00	00	00	00	00	33	01	37	01	73	03	00	00	00	00	00	00	00	00	00	00	30	3B	31	3A	30	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022741A0	Isis	伊西斯	イシス	01	00	1F	00	1A	00	09	00	00	00	00	00	3A	00	34	00	2D	01	00	00	00	00	00	00	00	00	00	00	0E	14	11	12	10	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022741D0	Izanagi	伊邪那岐	イザナギ	01	00	B7	00	14	00	C0	00	00	00	00	00	C1	02	29	00	4F	01	00	00	00	00	00	00	00	00	00	00	0E	0D	0D	0E	0D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274200	Izanagi no Okami	伊邪那岐大神	伊邪那岐大神	01	00	68	01	50	00	C2	00	00	00	00	00	C9	02	5D	03	3C	03	00	00	00	00	00	00	00	00	00	00	34	38	2E	30	2D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274230	Izanagi no Okami Picaro	伊邪那岐大神・贼神	伊邪那岐大神・賊神	01	00	6E	01	59	00	C2	00	00	00	00	00	C9	02	5D	03	3C	03	00	00	00	00	00	00	00	00	00	00	36	3D	38	3A	2D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274260	Izanagi Picaro	伊邪那岐・贼神	イザナギ・賊神	01	00	C1	00	17	00	C0	00	00	00	00	00	C1	02	29	00	50	01	00	00	00	00	00	00	00	00	00	00	10	0F	0F	10	0E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274290	Jack Frost	杰克霜精	ジャックフロスト	01	00	05	00	0B	00	9E	00	00	00	00	00	14	00	82	01	49	01	17	00	00	00	00	00	00	00	00	00	08	09	07	09	07	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022742C0	Jack-o'-Lantern	杰克灯笼	ジャックランタン	01	00	04	00	02	00	4F	00	00	00	00	00	0A	00	5A	01	00	00	00	00	00	00	00	00	00	00	00	00	02	03	03	03	02	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022742F0	Jatayu	佳塔由	ジャターユ	01	00	60	00	33	00	A2	00	00	00	00	00	20	00	56	01	51	00	00	00	00	00	00	00	00	00	00	00	1F	22	1D	24	1E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274320	Jikokuten	持国天王	ジコクテン	01	00	17	01	16	00	B4	00	00	00	00	00	C9	00	4B	03	5A	01	00	00	00	00	00	00	00	00	00	00	12	0B	10	0F	0D	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274350	Kaguya	辉夜	カグヤ	01	00	B9	00	10	00	3F	00	00	00	00	00	C4	02	32	01	21	03	00	00	00	00	00	00	00	00	00	00	0B	0F	0C	0B	06	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274380	Kaguya Picaro	辉夜・贼神	カグヤ・賊神	01	00	C3	00	19	00	3F	00	00	00	00	00	C4	02	32	01	22	03	00	00	00	00	00	00	00	00	00	00	11	14	13	0F	0B	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022743B0	Kaiwan	迦温	キウン	01	00	61	00	24	00	A4	00	00	00	00	00	56	00	BF	00	00	00	00	00	00	00	00	00	00	00	00	00	17	1A	18	16	14	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022743E0	Kali	迦梨	カーリー	01	00	30	00	3F	00	06	00	00	00	00	00	EC	00	10	01	D4	00	00	00	00	00	00	00	00	00	00	00	2B	29	27	27	22	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274410	Kelpie	凯尔派	ケルピー	01	00	62	00	06	00	39	00	00	00	00	00	1E	00	C8	00	00	00	00	00	00	00	00	00	00	00	00	00	05	05	05	06	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274440	Kikuri-Hime	菊理媛	キクリヒメ	01	00	4E	00	28	00	0E	00	00	00	00	00	5B	00	55	01	48	01	00	00	00	00	00	00	00	00	00	00	16	1F	18	1C	16	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274470	King Frost	霜精之王	キングフロスト	01	00	1D	00	3D	00	9E	00	00	00	00	00	16	00	82	01	CA	00	00	00	00	00	00	00	00	00	00	00	28	2C	2B	1D	22	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022744A0	Kin-Ki	隐形鬼	オンギョウキ	01	00	5D	00	19	00	3E	00	00	00	00	00	E6	00	50	01	3E	03	00	00	00	00	00	00	00	00	00	00	15	0D	15	0F	0C	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022744D0	Kodama	木灵	コダマ	01	00	82	00	0B	00	49	00	00	00	00	00	1E	00	5A	01	00	00	00	00	00	00	00	00	00	00	00	00	07	0B	08	0A	04	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274500	Koh-i-Noor	光之山	コ・イ・ヌール	01	00	6D	00	19	00	1C	01	00	00	00	00	2A	03	2C	03	2E	03	30	03	CF	03	CC	03	41	03	42	03	19	19	19	19	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274530	Kohryu	黄龙	コウリュウ	01	00	FE	00	4C	00	5F	00	00	00	00	00	C5	00	33	01	C3	00	00	00	00	00	00	00	00	00	00	00	2B	33	32	35	26	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274560	Koppa Tengu	木叶天狗	コッパテング	01	00	69	00	0B	00	2E	00	00	00	00	00	1E	00	51	01	00	00	00	00	00	00	00	00	00	00	00	00	07	08	08	0B	06	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274590	Koropokguru	克鲁波克鲁	コロポックル	01	00	68	00	09	00	4E	00	00	00	00	00	56	00	14	00	00	00	00	00	00	00	00	00	00	00	00	00	05	08	06	09	06	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022745C0	Koumokuten	广目天王	コウモクテン	01	00	16	01	31	00	AD	00	00	00	00	00	C9	00	3F	03	6E	01	00	00	00	00	00	00	00	00	00	00	25	1D	22	1D	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+022745F0	Kumbhanda	鸠盘荼	クヴァンダ	01	00	5B	00	2A	00	46	00	00	00	00	00	22	00	6F	00	10	01	00	00	00	00	00	00	00	00	00	00	19	1E	19	1B	1A	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274620	Kurama Tengu	鞍马天狗	クラマテング	01	00	31	00	1F	00	49	00	00	00	00	00	E4	00	60	01	22	00	00	00	00	00	00	00	00	00	00	00	14	13	15	18	10	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274650	Kushi Mitama	奇魂	クシミタマ	01	00	98	00	0C	00	AD	00	00	00	00	00	2C	01	31	01	56	00	00	00	00	00	00	00	00	00	00	00	07	0B	09	08	08	00	00	00	00	00	00	00	00	00	00	00	00	00	00
main+02274680	Kushinada	奇稻田姬	クシナダヒメ	01	00	5A	00	2A	00	09	00	00	00	00	00	0A	01	8A	01	32	01	00	00	00	00	00	00	00	00	00	00	18	1E	1A	1C	19	00	00	00	00	00	00	00	00	00	00	00	00	00	00
