Hex	名称	JP_NAME	EN_NAME
00A4	念视的血统	念視の血統	Psychic Bloodline
00A5	兵主神的异能	兵主神の異能	Chi You's Blessing
00A6	热病的血统	熱病みの血統	Atomic Bloodline
00A7	炽热的修罗道	灼熱の修羅道	Atomic Hellscape
00A8	被祝福的血统	祝福された血統	Blessed Bloodline
00A9	代理人的恩惠	代理人の恩恵	Martyr's Gift
00AA	被诅咒的血统	呪われた血統	Cursed Bloodline
00AB	丰穰神的冤屈	豊穣神の無念	Mother's Lament
00AC	RESERVE	リザーブ	RESERVE
00AD	贪吃的嘴巴	貧食の口先	Gluttonmouth
00AE	鬼的一口	鬼の一口	Demon's Bite
00AF	品尝的嘴巴	味わいの口先	Mouth of Savoring
00B0	雌雄同体	ナーラーナーリー	Naranari
00B1	被圣别的灵魂	聖別された魂	Hallowed Spirit
00B2	卓越的暗示力	卓越した暗示力	Potent Hypnosis
00B3	莲华带来的富贵	蓮華がもたらす富	Wealth of Lotus
00B4	无与伦比的自我暗示力	無類の自己暗示力	Internal Hypnosis
00B5	良善思维	善い思考	Positive Thoughts
00B6	汲取殆尽的嘴色	吸い尽くす口先	Draining Mouth
00B7	RESERVE	リザーブ	RESERVE
00B8	最快捷径的导引	最小手への誘い	Tag Team
00B9	钢铁之心	鉄の心臓	Iron Heart
00BA	天性的危机管理	天性の危機管理	Crisis Control
00BB	沾满鲜血的双瞳	血塗られた瞳	Bloodstained Eyes
00BC	剑神的意念	剣神の念	Will of the Sword
00BD	RESERVE	リザーブ	RESERVE
00BE	悲痛的轮回	悲しみの輪	Circle of Sadness
00BF	桂的由来	桂の由来	Bolstering Force
00C0	如造神之举	神産みが如き業	God Maker
00C1	无形的存在感	無形の存在感	Hazy Presence
00C2	如创国之举	国産みが如き業	Country Maker
00C3	橄榄的庇佑	オリーブの加護	Grace of the Olive
00C4	快去死吧	はやくしんでよ	Just Die
00C5	被圣别的灵魂	聖別された魂	Blessed Spirit
00C6	RESERVE	リザーブ	RESERVE
00C7	RESERVE	リザーブ	RESERVE
00C8	RESERVE	リザーブ	RESERVE
00C9	RESERVE	リザーブ	RESERVE
00CA	RESERVE	リザーブ	RESERVE
00CB	RESERVE	リザーブ	RESERVE
00CC	RESERVE	リザーブ	RESERVE
00CD	RESERVE	リザーブ	RESERVE
00CE	RESERVE	リザーブ	RESERVE
00CF	RESERVE	リザーブ	RESERVE
00D0	RESERVE	リザーブ	RESERVE
00D1	RESERVE	リザーブ	RESERVE
00D2	RESERVE	リザーブ	RESERVE
00D3	RESERVE	リザーブ	RESERVE
00D4	RESERVE	リザーブ	RESERVE
00D5	RESERVE	リザーブ	RESERVE
00D6	RESERVE	リザーブ	RESERVE
00D7	RESERVE	リザーブ	RESERVE
00D8	RESERVE	リザーブ	RESERVE
00D9	RESERVE	リザーブ	RESERVE
00DA	RESERVE	リザーブ	RESERVE
00DB	RESERVE	リザーブ	RESERVE
00DC	RESERVE	リザーブ	RESERVE
00DD	RESERVE	リザーブ	RESERVE
00DE	RESERVE	リザーブ	RESERVE
00DF	RESERVE	リザーブ	RESERVE
00E0	RESERVE	リザーブ	RESERVE
00E1	RESERVE	リザーブ	RESERVE
00E2	RESERVE	リザーブ	RESERVE
00E3	RESERVE	リザーブ	RESERVE
00E4	RESERVE	リザーブ	RESERVE
00E5	RESERVE	リザーブ	RESERVE
00E6	RESERVE	リザーブ	RESERVE
00E7	RESERVE	リザーブ	RESERVE
00E8	RESERVE	リザーブ	RESERVE
00E9	RESERVE	リザーブ	RESERVE
00EA	RESERVE	リザーブ	RESERVE
00EB	RESERVE	リザーブ	RESERVE
00EC	RESERVE	リザーブ	RESERVE
00ED	RESERVE	リザーブ	RESERVE
00EE	RESERVE	リザーブ	RESERVE
00EF	RESERVE	リザーブ	RESERVE
00F0	RESERVE	リザーブ	RESERVE
00F1	RESERVE	リザーブ	RESERVE
00F2	RESERVE	リザーブ	RESERVE
00F3	RESERVE	リザーブ	RESERVE
00F4	RESERVE	リザーブ	RESERVE
00F5	RESERVE	リザーブ	RESERVE
00F6	RESERVE	リザーブ	RESERVE
00F7	RESERVE	リザーブ	RESERVE
00F8	RESERVE	リザーブ	RESERVE
00F9	RESERVE	リザーブ	RESERVE
00FA	RESERVE	リザーブ	RESERVE
00FB	RESERVE	リザーブ	RESERVE
00FC	RESERVE	リザーブ	RESERVE
00FD	RESERVE	リザーブ	RESERVE
00FE	RESERVE	リザーブ	RESERVE
00FF	RESERVE	リザーブ	RESERVE
0100	RESERVE	リザーブ	RESERVE
0101	RESERVE	リザーブ	RESERVE
0102	RESERVE	リザーブ	RESERVE
0103	RESERVE	リザーブ	RESERVE
0104	RESERVE	リザーブ	RESERVE
0105	RESERVE	リザーブ	RESERVE
0106	RESERVE	リザーブ	RESERVE
0107	RESERVE	リザーブ	RESERVE
0108	RESERVE	リザーブ	RESERVE
0109	RESERVE	リザーブ	RESERVE
010A	RESERVE	リザーブ	RESERVE
010B	RESERVE	リザーブ	RESERVE
010C	RESERVE	リザーブ	RESERVE
010D	RESERVE	リザーブ	RESERVE
010E	RESERVE	リザーブ	RESERVE
010F	RESERVE	リザーブ	RESERVE
0110	RESERVE	リザーブ	RESERVE
0111	RESERVE	リザーブ	RESERVE
0112	RESERVE	リザーブ	RESERVE
0113	RESERVE	リザーブ	RESERVE
0114	RESERVE	リザーブ	RESERVE
0115	RESERVE	リザーブ	RESERVE
0116	RESERVE	リザーブ	RESERVE
0117	RESERVE	リザーブ	RESERVE
0118	RESERVE	リザーブ	RESERVE
0119	极致的英才	至極の大器	Ultimate Vessel
011A	极致的英才	至極の大器	Ultimate Vessel
011B	极致的英才	至極の大器	Ultimate Vessel
011C	极致的英才	至極の大器	Ultimate Vessel
011D	极致的英才	至極の大器	Ultimate Vessel
011E	极致的英才	至極の大器	Ultimate Vessel
011F	极致的英才	至極の大器	Ultimate Vessel
0120	极致的英才	至極の大器	Ultimate Vessel
0121	极致的英才	至極の大器	Ultimate Vessel
0122	RESERVE	リザーブ	RESERVE
0123	RESERVE	リザーブ	RESERVE
0124	RESERVE	リザーブ	RESERVE
0125	RESERVE	リザーブ	RESERVE
0126	RESERVE	リザーブ	RESERVE
0127	RESERVE	リザーブ	RESERVE
0128	RESERVE	リザーブ	RESERVE
0129	RESERVE	リザーブ	RESERVE
012A	RESERVE	リザーブ	RESERVE
012B	RESERVE	リザーブ	RESERVE
