HEX	名称	JP_NAME	EN_NAME	备注
0035	玛翰玛翁	マハンマオン	Mahamaon	
0036	克哈	コウハ	Kouha	
0037	克加	コウガ	Kouga	
0038	克加翁	コウガオン	Kougaon	
0039	玛哈克哈	マハコウハ	Makouha	
003A	玛哈克加	マハコウガ	Makouga	
003B	玛哈克加翁	マハコウガオン	Makougaon	
003C	姆多	ムド	Mudo	
003D	姆多翁	ムドオン	Mudoon	
003E	玛哈姆多	マハムド	Mamudo	
003F	玛哈姆多翁	マハムドオン	Mamudoon	
0040	耶哈	エイハ	Eiha	
0041	耶加	エイガ	Eiga	
0042	耶加翁	エイガオン	Eigaon	
0043	玛哈耶哈	マハエイハ	Maeiha	
0044	玛哈耶加	マハエイガ	Maeiga	
0045	玛哈耶加翁	マハエイガオン	Maeigaon	
0046	米吉多	メギド	Megido	
0047	米吉多拉	メギドラ	Megidola	
0048	米吉多拉翁	メギドラオン	Megidolaon	
0049	芙雷	フレイ	Frei	
004A	芙雷拉	フレイラ	Freila	
004B	芙雷达因	フレイダイン	Freidyne	
004C	玛哈芙雷	マハフレイ	Mafrei	
004D	玛哈芙雷拉	マハフレイラ	Mafreila	
004E	玛哈芙雷达因	マハフレイダイン	Mafreidyne	
004F	核热珠	核熱玉	Nuke Ball	空栏
0050	致盲	目眩し	Dazzler	
0051	黑夜闪光	闇夜の閃光	Nocturnal Flash	
0052	普林帕	プリンパ	Pulinpa	
0053	颠塔拉弗	テンタラフー	Tentarafoo	
0054	恶魔之触	デビルタッチ	Evil Touch	
0055	恶魔微笑	デビルスマイル	Evil Smile	
0056	玛卡加玛	マカジャマ	Makajama	
0057	玛卡加玛翁	マカジャマオン	Makajamaon	
0058	饥饿气息	飢餓の吐息	Famine's Breath	
0059	饥饿吼叫	飢餓の叫び	Famine's Scream	
005A	永眠	ドルミナー	Dormina	
005B	摇篮曲	スリープソング	Lullaby	
005C	挑衅	挑発	Taunt	
005D	宣战宣言	宣戦布告	Wage War	
005E	不吉的话语	不吉な言葉	Ominous Words	
005F	深渊的波动	奈落の波動	Abysmal Surge	
0060	马琳卡琳	マリンカリン	Marin Karin	
0061	精神污染	ブレインジャック	Brain Jack	
0062	吸血	フクロノネズミ	Trapped Rat	
0063	念动珠	念動玉	Psy Ball	空栏
0064	自爆	自爆	Self-destruct	
0065	自爆	自爆	Self-destruct	
0066	自爆	自爆	Self-destruct	
0067	吸血	吸血	Life Drain	
0068	吸魔	吸魔	Spirit Drain	
0069	强力吸血	超吸血	Life Leech	
006A	强力吸魔	超吸魔	Spirit Leech	
006B	吸魔	吸魔	Spirit Drain	空栏
006C	卡加夺取　未实作	カジャ分捕り　未実装	NOT USED	空栏
006D	空栏	ブランク	BLANK	空栏
006E	污秽吐息	淀んだ吐息	Foul Breath	
006F	污秽空气	淀んだ空気	Stagnant Air	
0070	狂怒	逆なで	Reverse Rub	
0071	亡者喟叹	亡者の嘆き	Ghastly Wail	
0072	拉雯妲用总攻击	ラヴェ用総攻撃	NOT USED	空栏
0073	吸收	吸収	Drain	空栏
0074	米吉多拉	メギドラ	Megidola	空栏
0075	烟花	打ち上げ	Launch	空栏
0076	特大烟花	特大花火	Special Fireworks	空栏
0077	甩尾	ドリフト	Drift	空栏
0078	炼狱	インフェルノ	Inferno	
0079	大燃烧	大炎上	Blazing Hell	
007A	低概率附着燃烧	低確率で炎上付着	Low Burn	空栏
007B	中概率附着燃烧	中確率で炎上付着	Mid Burn	空栏
007C	高概率附着燃烧	高確率で炎上付着	High Burn	空栏
007D	低概率附着冻结	低確率で凍結付着	Low Freeze	空栏
007E	中概率附着冻结	中確率で凍結付着	Mid Freeze	空栏
007F	高概率附着冻结	高確率で凍結付着	High Freeze	空栏
0080	低概率附着触电	低確率で感電付着	Low Shock	空栏
0081	中概率附着触电	中確率で感電付着	Mid Shock	空栏
0082	钻石星尘	ダイアモンドダスト	Diamond Dust	
0083	大冰河时期	大氷河期	Ice Age	
0084	高概率附着触电	高確率で感電付着	High Shock	空栏
0085	低概率附着晕眩	低確率で目眩付着	Low Dizzy	空栏
0086	中概率附着晕眩	中確率で目眩付着	Mid Dizzy	空栏
0087	高概率附着晕眩	高確率で目眩付着	High Dizzy	空栏
0088	低概率附着混乱	低確率で混乱付着	Low Confuse	空栏
0089	中概率附着混乱	中確率で混乱付着	Mid Confuse	空栏
008A	高概率附着混乱	高確率で混乱付着	High Confuse	空栏
008B	低概率附着恐惧	低確率で恐怖付着	Low Fear	空栏
008C	万物流转	万物流転	Panta Rhei	
008D	真空波	真空波	Vacuum Wave	空栏
008E	中概率附着恐惧	中確率で恐怖付着	Mid Fear	空栏
008F	高概率附着恐惧	高確率で恐怖付着	High Fear	空栏
0090	低概率附着遗忘	低確率で忘却付着	Low Forget	空栏
0091	中概率附着遗忘	中確率で忘却付着	Mid Forget	空栏
0092	高概率附着遗忘	高確率で忘却付着	High Forget	空栏
0093	低概率附着洗脑	低確率で洗脳付着	Low Brainwash	空栏
0094	中概率附着洗脑	中確率で洗脳付着	Mid Brainwash	空栏
0095	高概率附着洗脑	高確率で洗脳付着	High Brainwash	
0096	真理之雷	真理の雷	Thunder Reign	
0097	崇高圣战	エル・ジハード	Wild Thunder	
0098	低概率附着睡眠	低確率で睡眠付着	Low Sleep	空栏
0099	中概率附着睡眠	中確率で睡眠付着	Mid Sleep	空栏
009A	高概率附着睡眠	高確率で睡眠付着	High Sleep	空栏
009B	低概率附着狂怒	低確率で激怒付着	Low Rage	空栏
009C	中概率附着狂怒	中確率で激怒付着	Mid Rage	空栏
009D	高概率附着狂怒	高確率で激怒付着	High Rage	空栏
009E	低概率附着绝望	低確率で絶望付着	Low Despair	空栏
009F	中概率附着绝望	中確率で絶望付着	Mid Despair	空栏
00A0	神之审判	神の審判	Divine Judgment	
00A1	回转讲道	回転説法	Samsara	
00A2	高概率附着绝望	高確率で絶望付着	High Despair	空栏
00A3	偶尔附着全异常状态效果	稀に全バステ効果	Low All Ail	空栏
00A4	有时附着全异常状态效果	時々全バステ効果	Mid All Ail	空栏
00A5	频繁附着全异常状态效果	頻繁に全バステ効果	High All Ail	空栏
00A6	亚当技能1	アダムスキル1	Adam Skill 1	空栏
00A7	灵魂活性	魂の活性	Revitalize Soul	空栏
00A8	宏伟大掌	大いなる掌	Grand Palm	空栏
00A9	全力一击	渾身の一撃	Full Force	空栏
00AA	恶魔审判	悪魔の審判	Demonic Decree	
00AB	可以为我而死吗?	死んでくれる？	Die For Me!	
00AC	支援PLUS3	サポートプラス3	Support Plus 3	
00AD	支援PLUS2	サポートプラス2	Support Plus 2	
00AE	支援PLUS1	サポートプラス1	Support Plus 1	
00AF	支援频率UP	サポート頻度UP	Support Rate Up	
00B0	原子火焰	アトミックフレア	Atomic Flare	
00B1	宇宙火焰	コズミックフレア	Cosmic Flare	
00B2	正念疗法	マインドフルナス	Mindfulness	空栏
00B3	清醒疗法	ウェイクフルネス	Wakefulness	空栏
00B4	漆黑之蛇	漆黒の蛇	Black Viper	
00B5	拂晓明星	明けの明星	Morning Star	
00B6	深渊之眼	深淵の眼	Abyssal Eye	
00B7	王者之杯	王者の盃	Champion's Cup	
00B8	剥削的假画	搾取の偽画	Bleeding Dry Brush	
00B9	金库看守者	金庫の番人	Vault Guardian	
00BA	才智的羽翼	知性の翼	Wings of Wisdom	
00BB	社长诀窍	社長の心得	President's Insight	
00BC	赌徒的预测	勝負師の先見	Gambler's Foresight	
00BD	幕后黑手的威令	黒幕の威令	Tyrant's Will	
00BE	赛	サイ	Psi	
00BF	赛欧	サイオ	Psio	
00C0	赛达因	サイダイン	Psiodyne	
00C1	玛哈赛	マハサイ	Mapsi	
00C2	玛哈赛欧	マハサイオ	Mapsio	
00C3	玛哈赛达因	マハサイダイン	Mapsiodyne	
00C4	攻击姿态	攻撃態勢	Attack Position	空栏
00C5	念动波	サイコキネシス	Psycho Force	
00C6	念动力	サイコフォース	Psycho Blast	
00C7	万象之力	万象の力	Universal Power	空栏
00C8	突击	突撃	Lunge	
00C9	俯冲突击	アサルトダイブ	Assault Dive	
00CA	百万吨袭击	メガトンレイド	Megaton Raid	
00CB	神之手	ゴッドハンド	God's Hand	
00CC	突击	突撃	Lunge	空栏
00CD	幸运拳	ラッキーパンチ	Lucky Punch	
00CE	奇迹拳	ミラクルパンチ	Miracle Punch	
00CF	杀戮突袭	キルラッシュ	Kill Rush	
00D0	加特林重击	ガトリングブロー	Gatling Blow	
00D1	贯彻的魔手	貫徹する魔手	Piercing Strike	空栏
00D2	斩击	スラッシュ	Cleave	
00D3	大斩断	大切断	Giant Slice	
00D4	勇气之击	ブレイブザッパー	Brave Blade	
00D5	剑之舞	剣の舞	Sword Dance	
00D6	圣母的慈爱	聖母の慈愛	Holy Benevolence	
00D7	八艘跳跃	八艘跳び	Hassou Tobi	
00D8	巴力神矛	マイムール	Ayamur	
00D9	死神大镰斩	デスサイズカット	Death Scythe	
00DA	未使用	曲解の防御弱体	UNUSED	空栏
00DB	会话任务用召唤	会話クエスト用召喚	NOT USED	空栏
00DC	穷鼠之牙	窮鼠の牙	Cornered Fang	
00DD	加倍斩击	レイズスラッシュ	Rising Slash	
00DE	死亡游戏	死亡遊戯	Deadly Fury	
00DF	核热爆碎	核熱の爆砕	Nuclear Crush	空栏
00E0	指弹	指弾	Snap	
00E1	三连倒	トリプルダウン	Triple Down	
00E2	一枪毙命	ワンショットキル	One-shot Kill	
00E3	至高魔弹	至高の魔弾	Riot Gun	
00E4	双重射击	ダブルシュート	Double Shot	
00E5	初始之光	原初の光	Origin Light	空栏
00E6	金刚发破	金剛発破	Vajra Blast	
00E7	空间杀法	空間殺法	Vorpal Blade	
00E8	曲解的攻击强化	曲解の攻撃強化	NOT USED	空栏
00E9	曲解的蓄力	曲解のチャージ	NOT USED	空栏
00EA	曲解的专心	曲解のコンセン	NOT USED	空栏
00EB	烈风波	烈風波	Vicious Strike	
00EC	灼热波浪	ヒートウェイブ	Heat Wave	
00ED	巨人之战	ギガントマキア	Gigantomachia	
00EE	翻腾的念动	渦巻く念動	Swirling Psychokinesis	空栏
00EF	霸王肃清	覇王の粛清	Tyrant's Purge	空栏
00F0	抢钱珠	ガッポリ玉	Mass Ball	空栏
00F1	横冲直撞	暴れまくり	Rampage	
00F2	电光石火	電光石火	Swift Strike	
00F3	死亡界限	デスバウンド	Deathbound	
00F4	火神之击	アグネヤストラ	Agneyastra	
00F5	丸喜耐性变化	丸城相性変化	NOT USED	空栏
00F6	自我再生	自己再生	Regeneration	空栏
00F7	加倍斩击	レイズスラッシュ	Rising Slash	
00F8	死亡游戏	死亡遊戯	Deadly Fury	
00F9	霸王审判	覇王の審判	Tyrant's Judgement	空栏
00FA	二连牙	二連牙	Double Fangs	
00FB	威力斩击	パワースラッシュ	Power Slash	
00FC	无形守护	無形の守り	Shapeless Guard	空栏
00FD	五月雨斩	五月雨斬り	Tempest Slash	
00FE	刹那五月雨斩	刹那五月雨斬り	Myriad Slashes	
00FF	蛮力增幅	蛮力の増幅	Amplify Force	空栏
0100	魔性增幅	魔性の増幅	Amplify Magic	空栏
0101	天降种子	降り注ぐ種子	Raining Seeds	空栏
0102	活力灌注	流れ込む生気	Energy Stream	空栏
0103	心境	ゾーン	Flow	空栏
0104	烈击巨锤	スレッジハンマー	Sledgehammer	
0105	倒栽痛击	脳天落とし	Skull Cracker	
0106	骇鸦	テラークロウ	Terror Claw	
0107	头锤	ヘッドバット	Headbutt	
0108	胃部拳击	ストマックブロー	Stomach Blow	
0109	织梦针	夢見針	Dream Needle	
010A	歇斯底里掌掴	ヒステリービンタ	Hysterical Slap	
010B	负面意识堆栈	ネガティブパイル	Negative Pile	
010C	头脑震撼	ブレインシェイク	Brain Shake	
010D	攻击	アタック	Attack	空栏
010E	闪光炸弹	フラッシュボム	Flash Bomb	
010F	心念切断	マインドスライス	Mind Slice	
0110	血祭	血祭り	Bloodbath	
0111	忘杀突袭	忘殺スラッシュ	Memory Blow	
0112	无穷饥渴	飽くなき渇き	Insatiable Strike	
0113	永眠突袭	ドルミンラッシュ	Dormin Rush	
0114	鬼神乐	鬼神楽	Oni-Kagura	
0115	绝望敲打	バッドビート	Bad Beat	
0116	碎脑击	ブレインバスター	Brain Buster	
0117	烈焰魔釗	レーヴァテイン	Laevateinn	
0118	手枪	ハンドガン	Handgun	空栏
0119	霰弹枪	ショットガン	Shotgun	空栏
011A	弹弓	パチンコ	Slingshot	空栏
011B	机关枪	マシンガン	Machine Gun	空栏
011C	突击步枪	アサルトライフル	Assault Rifle	空栏
011D	左轮手枪	リボルバー	Revolver	空栏
011E	榴弹枪	グレネードランチャー	Grenade Launcher	空栏
011F	激光枪	レーザーガン	Laser Gun	空栏
0120	古董步枪	アンティークライフル	Antique Rifle	空栏
0121	万魔之势	万魔の構え	Tyrant Stance	空栏
0122	斗魂灌注	闘魂注入	Fighting Spirit	
0123	奇迹突装	ミラクルラッシュ	Miracle Rush	
0124	棋高一着	チェックメイト	Checkmate	
0125	百花缭乱	百花繚乱	Hyakka Ryouran	
0126	血脉偾张	ハイテンション	High Energy	
0127	究极支援	究極サポート	Ultimate Healing Support	
0128	生命障壁	生命の壁	Life Wall	
0129	反抗之刃	反逆の刃	Rebellion Blade	
012A	化妆舞会	マスカレイド	Masquerade	
012B	先行的触手	先導の触手	Guiding Tendril	
012C	迪亚	ディア	Dia	
012D	迪亚拉玛	ディアラマ	Diarama	
012E	迪亚拉翰	ディアラハン	Diarahan	
012F	先行的触手	ブレイブステップ	Brave Step	
0130	丸喜铁拳	丸城パンチ	Maruki Punch	空栏
0131	梅迪亚	メディア	Media	
0132	梅迪拉玛	メディラマ	Mediarama	
0133	梅迪亚拉翰	メディアラハン	Mediarahan	
0134	无情冲击	非情の衝撃	Brutal Impact	空栏
0135	咒击刑	呪撃刑	Cursed Strike	空栏
0136	利卡姆	リカーム	Recarm	
0137	萨玛利卡姆	サマリカーム	Samarecarm	
0138	利卡姆多拉	リカームドラ	Recarmdra	
0139	侦探的具眼	探偵の具眼	Sleuthing Instinct	空栏
013A	名侦探的慧眼	名探偵の達眼	Sleuthing Mastery	空栏
013B	甘露水滴	アムリタドロップ	Amrita Drop	
013C	甘露之雨	アムリタシャワー	Amrita Shower	
013D	光击刑	光撃刑	Holy Strike	空栏
013E	救世主之愈	メシアライザー	Salvation	
013F	核击刑	核撃刑	Nuclear Strike	空栏
0140	念击刑	念撃刑	Psychokinesis Strike	空栏
0141	喧哗	オラオーラ	Taunting Aura	
0142	暴风刑	嵐の刑	Storm Punishment	空栏
0143	潜伏	潜伏	Concealment	
0144	电击刑	電の刑	Lightning Punishment	
0145	帕特拉	パトラ	Patra	
0146	冰杀刑	氷殺刑	Punishing Hail	空栏
0147	能量浴	エナジーシャワー	Energy Shower	
0148	能量水滴	エナジードロップ	Energy Drop	
0149	拜斯堤	バイスディ	Baisudi	
014A	梅帕特拉	メパトラ	Me Patra	
014B	玛哈拜斯堤	マハバイスディ	Mabaisudi	
014C	蓄力珠	チャージ玉	Charge Ball	空栏
014D	专心致志珠	コンセントレイト玉	Concentrated Ball	空栏
014E	业火刑	業火刑	Inferno Punishment	空栏
014F	塔尔卡加	タルカジャ	Tarukaja	
0150	拉库卡加	ラクカジャ	Rakukaja	
0151	斯库卡加	スクカジャ	Sukukaja	
0152	灼热奋起	ヒートライザ	Heat Riser	
0153	枪杀刑	銃殺刑	Gunfire Punishment	空栏
0154	玛哈塔尔卡加	マハタルカジャ	Matarukaja	
0155	玛哈拉库卡加	マハラクカジャ	Marakukaja	
0156	玛哈斯库卡加	マハスクカジャ	Masukukaja	
0157	炽热之门	テルモピュライ	Thermopylae	
0158	斩首刑	斬首刑	Guillotine Punishment	空栏
0159	塔伦达	タルンダ	Tarunda	
015A	拉坤达	ラクンダ	Rakunda	
015B	斯坤达	スクンダ	Sukunda	
015C	女巫诅咒	ランダマイザ	Debilitate	
015D	召唤4名	4体召喚	Quadruple Summon	空栏
015E	玛哈塔伦达	マハタルンダ	Matarunda	
015F	玛哈拉坤达	マハラクンダ	Marakunda	
0160	玛哈斯坤达	マハスクンダ	Masukunda	
0161	分析	アナライズ	Analysis	空栏
0162	分析	アナライズ	Analysis	空栏
0163	迪坤达	デクンダ	Dekunda	
0164	迪卡加	デカジャ	Dekaja	
0165	弹飞啦!	はじけ飛んだ！	Explosion!	空栏
0166	弹飞啦!	はじけ飛んだ！	Explosion!	空栏
0167	狮身女坏腕	獅身女の壊腕	Sphinx Swipe	空栏
0168	蓄力	チャージ	Charge	
0169	专心致志	コンセントレイト	Concentrate	
016A	急速俯冲	急降下	Nose Dive	空栏
016B	完成报酬增加	始末報酬増額	Kill Reward Up	空栏
016C	护卫报酬增加	護衛報酬増額	Guard Reward Up	空栏
016D	反叛	リベリオン	Rebellion	
016E	革命	レボリューション	Revolution	
016F	钱雨	金の雨	Make it Rain	空栏
0170	特别护卫契约	特別護衛契約	Special Guards	空栏
0171	虚荣的日本画世界	虚飾の日本画の世界	Fake Artist's Grace	空栏
0172	提特拉康	テトラカーン	Tetrakarn	
0173	玛卡拉康	マカラカーン	Makarakarn	
0174	提特拉加	テトラジャ	Tetraja	
0175	怒意的品鉴	怒りのテイスティング	Taste of Wrath	空栏
0176	真迹的赝品	本物の贗作	True Fake	空栏
0177	提特拉破坏	テトラブレイク	Tetra Break	
0178	玛卡拉破坏	マカラブレイク	Makara Break	
0179	爱的调教尖刺	愛の調教スバイク	Killshot of Love	空栏
017A	弥生追击	ヤヨイ・追撃用	NOT USED	空栏
017B	弥生・枪追击用	ヤヨイ・銃追撃用	NOT USED	空栏
017C	防炎之壁	防炎の壁	Fire Wall	
017D	防冰之壁	防氷の壁	Ice Wall	
017E	防电之壁	防電の壁	Elec Wall	
017F	防岚之壁	防嵐の壁	Wind Wall	
0180	空栏	ブランク	BLANK	空栏
0181	消除火焰防御	火炎ガードキル	Fire Break	
0182	消除冰冻防御	氷結ガードキル	Ice Break	
0183	消除疾风防御	疾風ガードキル	Wind Break	
0184	消除电击防御	電撃ガードキル	Elec Break	
0185	空栏	ブランク	BLANK	空栏
0186	特拉芙里	トラフーリ	Trafuri	
0187	特拉埃斯特	トラエスト	Traesto	
0188	主动护罩	アクティブバリア	Active Barrier	空栏
0189	防核之壁	防核の壁	Nuke Wall	
018A	防念之壁	防念の壁	Psy Wall	
018B	消除核热防御	核熱ガードキル	Nuke Break	
018C	消除念动防御	念動ガードキル	Psy Break	
018D	空栏	ブランク	BLANK	空栏
018E	空栏	ブランク	BLANK	空栏
018F	心境	ゾーン	Flow	空栏
0190	总攻击・Lv1	総攻撃LV1	All-out Lv 1	空栏
0191	总攻击・Lv2	総攻撃LV2	All-out Lv 2	空栏
0192	总攻击・Lv3	総攻撃LV3	All-out Lv 3	空栏
0193	紧急脱离	緊急離脱	Emergency Escape	空栏
0194	攻击	アタック	Attack	空栏
0195	一枪倒地	ダウンショット	Down Shot	空栏
0196	召唤	召喚	Summon	
0197	救援请求	救援要請	Call for Backup	空栏
0198	恶徒攻击	アウトロウ攻撃	Outlaw Attack	空栏
0199	散播	ばらまき	Barrage	空栏
019A	冲撞追击	フォロークラッシュ	Follow Crush	空栏
019B	爪追击	フォロークロウ	Follow Claw	空栏
019C	鞭追击	フォローウィップ	Follow Whip	空栏
019D	刀追击	フォローブレード	Follow Blade	空栏
019E	拳追击	フォローナックル	Follow Knuckle	空栏
019F	战斧追击	フォローアクス	Follow Axe	空栏
01A0	军刀追击	フォローサーベル	Follow Saber	空栏
01A1	丢弃道具	アイテム廃棄	Dispose Item	空栏
01A2	恢复敌方	敵を回復	Heal Enemy	空栏
01A3	死亡(绝望)	死亡(絶望)	Death (Despair)	空栏
01A4	|同伴1・强化追击用	仲間1強化追撃用	Ally1 Follow-Up	空栏
01A5	|同伴2・强化追击用	仲間2強化追撃用	Ally2 Follow-Up	空栏
01A6	|同伴3・强化追击用	仲間3強化追撃用	Ally3 Follow-Up	空栏
01A7	|同伴4・强化追击用	仲間4強化追撃用	Ally4 Follow-Up	空栏
01A8	|同伴5・强化追击用	仲間5強化追撃用	Ally5 Follow-Up	空栏
01A9	|同伴6・强化追击用	仲間6強化追撃用	Ally6 Follow-Up	空栏
01AA	|同伴7・强化追击用	仲間7強化追撃用	Ally7 Follow-Up	空栏
01AB	强化敌方	敵を強化	Power Up Enemy	空栏
01AC	强化敌方	敵を強化	Power Up Enemy	空栏
01AD	强化敌方	敵を強化	Power Up Enemy	空栏
01AE	强化敌方	敵を強化	Steal Info	空栏
01AF	支援玛哈塔尔卡加	支援マハタルカジャ	Sup Matarukaja	
01B0	支援玛哈拉库卡加	支援マハラクカジャ	Sup Marakukaja	
01B1	支援玛哈斯库卡加	支援マハスクカジャ	Sup Masukukaja	
01B2	支援全卡加	支援全カジャ	Sup All Kaja	
01B3	支援蓄力	支援チャージ	Sup Charge	
01B4	支援恢复全员3成HP	支援全員HP3割回復	Sup HP +30%	
01B5	支援恢复全员1成SP	支援全員SP1割回復	Sup SP +10%	
01B6	支援确保脱逃路线	支援逃走経路確保	Sup Escape Route	
01B7	支援第三只眼	支援サードアイ	Sup Third Eye	
01B8	辅助恢复HP	サブリカバーHP	Subrecover HP	
01B9	辅助恢复SP	サブリカバーSP	Subrecover SP	
01BA	分析	アナライズ	Analysis	
01BB	高阶分析	ハイ・アナライズ	Deep Analysis	
01BC	彻底分析	フル・アナライズ	Full Analysis	
01BD	总攻击	総攻撃	All-Out Attack	空栏
01BE	风尘	敵全体に疾風属性で極小ダメージ	Dust Flurry	
01BF	舌头甩击	舌振り回し	Tongue Whip	空栏
01C0	鞭打	ムチ叩き	Whip Strike	空栏
01C1	舔舐杏人偶	杏人形しゃぶり	Lustful Slurp	空栏
01C2	增强精力	精力増強	Libido Boost	空栏
01C3	金小刀	金のナイフ	Golden Knife	空栏
01C4	舌头舔舐	舌舐め	Lick	空栏
01C5	金牌扣杀	金メダル級スパイク	Gold Medal Spike	空栏
01C6	排球攻击	バレーボールアタック	Volleyball Assault	
01C7	旋风	辻風	Maelstrom	空栏
01C8	炎舞	炎舞	Flame Dance	空栏
01C9	雪音	雪音	Silent Snowscape	空栏
01CA	迅雷	迅雷	Thunderclap	空栏
01CB	玛哈耶加	ハマエイガ	Maeiga	空栏
01CC	全体饥饿魔法	空腹全体魔法	Hunger All	空栏
01CD	对人火神炮	対人バルカン	Ocular Vulcan	空栏
01CE	导弹派对	ミサイル・パーティー	Missile Party	空栏
01CF	恐惧瓦斯	フィアー・ガス	Fear Gas	空栏
01D0	超V・I・P形态	超V/I/Pフォーム	Super VIP Form	空栏
01D1	大怪球行进	大怪球マーチ	March of the Piggy	空栏
01D2	狮身女坏腕	獅身女の壊腕	Sphinx Swipe	空栏
01D3	羽翼攻击	羽撃き	Wing Blast	空栏
01D4	急速上升	急上昇	Rapid Ascent	空栏
01D5	狮身女猛击	獅身女の猛撃	Sphinx Dive	空栏
01D6	战栗尖叫	戦慄の絶叫	Dreadful Scream	空栏
01D7	咬啮	噛みつき	Bite	空栏
01D8	修复	修復	Restore	空栏
01D9	美丽的日本画世界	美しき日本画の世界	The Artist's Grace	空栏
01DA	出勤命令	出勤命令	Work Order	空栏
01DB	自爆指令	自爆指令	Sacrifice Order	空栏
01DC	灭私奉公	滅私奉公	Selfless Devotion	空栏
01DD	惩罚	ペナルティ	Penalty	空栏
01DE	全体硬币攻击	コイン攻撃全体	Coin Attack	空栏
01DF	一刀两断	一刀両断	Severing Slash	空栏
01E0	加特林炮	ガトリング砲	Gatling Gun	空栏
01E1	狂战土之舞	狂戦士の舞	Berserker Dance	空栏
01E2	轮盘:HP	ルーレットHP	Roulette: HP	空栏
01E3	轮盘:SP	ルーレットSP	Roulette: SP	空栏
01E4	轮盘:钱	ルーレットお金	Roulette: Money	空栏
01E5	轮盘:辅助1	ルーレット補助1	Roulette: Aid 1	空栏
01E6	轮盘:辅助2	ルーレット補助2	Roulette: Aid 2	空栏
01E7	轮盘:辅助3	ルーレット補助3	Roulette: Aid 3	空栏
01E8	王兽一击	王獣の一撃	Beast King's Wrath	空栏
01E9	狩猎姿态	狩りの構え	Hunting Stance	空栏
01EA	王兽坏腕	王獣の壊腕	Arm of Destruction	空栏
01EB	翼兽呼吸	翼獣の呼吸	Gryphon's Breath	空栏
01EC	王翼吐光	王翼の吐光	Royal Wing Beam	空栏
01ED	炮击	砲撃	Cannon Fire	空栏
01EE	炮弹之雨	砲弾の雨	Cannon Barrage	空栏
01EF	魔光聚集	魔光の収束	Unholy Convergence	空栏
01F0	王墓魔炮	王墓の魔砲	Pyramid Blast	空栏
01F1	霸王拳	覇王の拳	Tyrant's Fist	空栏
01F2	霸王眼光	覇王の眼光	Tyrant's Glare	空栏
01F3	霸王波动	覇王の波動	Tyrant's Wave	空栏
01F4	无花果果实	無花果の実	Fig Seed	道具
01F5	伤药	傷薬	Medicine	道具
01F6	软膏	軟膏薬	Ointment	道具
01F7	治疗凝胶	ヒールゼリー	Antibiotic Gel	道具
01F8	魔石	魔石	Life Stone	道具
01F9	宝玉	宝玉	Bead	道具
01FA	超值伤药组合	お徳用傷薬セット	Value Medicine	道具
01FB	紧急医疗包	緊急医療セット	Medical Kit	道具
01FC	马卡叶	マカの葉	Maka Leaf	道具
01FD	宝玉环	宝玉輪	Bead Chain	道具
